CLAIM_FROM_MONTH,total_paid,total_claims,total_bene,active_providers,active_codes,avg_cost_per_claim,avg_cost_per_bene
2018-01-01,115262032.7199999,1921232.0,1078786.0,16258,1959,45.045569241687474,80.99726400115159
2018-02-01,73606860.82000005,1595641.0,1015268.0,15285,1903,43.2930875894627,72.99898526357352
2018-03-01,113913532.92000014,2225984.0,1152487.0,16104,1967,43.14493882099994,75.27515440061171
2018-04-01,90685628.86000006,1679590.0,1086589.0,15629,1923,43.69962984771967,74.34194932890085
2018-05-01,90126930.74999988,1768122.0,1088136.0,16118,1986,45.22096319573008,82.63358439002594
2018-06-01,79722069.46999995,1624200.0,994816.0,14822,1903,45.58392839543605,81.7054143081359
2018-07-01,83193490.11999999,1632977.0,1027414.0,15147,1861,45.87546038603119,82.5590126181476
2018-08-01,92844509.4500001,1836894.0,1154170.0,16239,1956,44.679415037049594,83.35359855879574
2018-09-01,81507208.19999997,1612492.0,1009133.0,15128,1848,44.399352204544115,81.65299254344926
2018-10-01,98392334.78999998,2110608.0,1233927.0,16777,2001,43.483618411265425,79.43376095826831
2018-11-01,98527760.01000011,1839266.0,1040940.0,15358,1910,43.84690799116534,79.07621069509945
2018-12-01,83254484.27000007,1639409.0,956203.0,14308,1845,46.87651240683689,86.54596844825788
2019-01-01,98651435.38000014,1990759.0,1188025.0,16733,1997,48.59848232566277,85.02416459950337
2019-02-01,119108150.06000002,2097892.0,1108972.0,15957,1991,46.782893717527905,85.00111479929184
2019-03-01,106100393.5900002,1907384.0,1170772.0,16884,2018,49.028988185408494,85.71011756730249
2019-04-01,105030428.52000016,2141320.0,1201790.0,17014,2049,47.752186366456506,82.41745784408933
2019-05-01,110649240.12000018,2037712.0,1185676.0,16777,2019,47.23324997294207,84.76383176656128
2019-06-01,94117343.48999998,1850080.0,1087009.0,15531,1919,45.42967990717772,80.37366028899153
2019-07-01,107352170.78999993,1928097.0,1181124.0,16500,1950,47.315138837599534,87.65668282521251
2019-08-01,97057239.51000004,1928047.0,1244235.0,17130,2009,47.80633136266119,84.64974048216911
2019-09-01,96564884.79000002,1945710.0,1164162.0,16983,1964,46.27807884485837,88.33201768124478
2019-10-01,102379335.17,2116628.0,1316732.0,18472,2118,45.36387418348841,81.89095076278475
2019-11-01,101413580.7299999,1930605.0,1158581.0,16567,1973,47.25547295271296,86.59947029513158
2019-12-01,124142315.6099999,2200347.0,1211525.0,16087,1950,48.65509093556392,90.67278206125228
2020-01-01,112854332.98999996,2163664.0,1397484.0,18322,2102,49.0831755517226,87.42581363854875
2020-02-01,110022154.60000011,2122336.0,1333115.0,17390,2029,49.692216865026985,84.38338567173001
2020-03-01,130640924.3899999,1807071.0,975365.0,15132,1937,50.62324251276887,96.47442985439689
2020-04-01,85977751.64999992,1387113.0,606043.0,9982,1522,52.747465188930605,114.7154887828948
2020-05-01,79984540.21,1390388.0,756165.0,12192,1762,51.641323093113705,100.06584362966854
2020-06-01,98126658.16000006,1672200.0,1053219.0,15359,1912,52.01733595308418,94.37375497752355
2020-07-01,113765750.90000005,1942513.0,1169594.0,16028,2003,49.60415803143053,93.25964783680669
2020-08-01,112751547.07000002,2070677.0,1126310.0,16304,1954,51.02722983763221,86.95940145068191
2020-09-01,147613748.04000002,2505369.0,1323166.0,17102,2028,49.90949572704191,90.75707090967838
