HCPCS_CODE,total_paid,total_claims,total_bene,provider_count,avg_cost_per_claim
T1019,122739547514.25955,1100608370.0,55702849.0,9780,159.85583734360637
T1015,49152668633.4505,322233922.0,235393614.0,13829,163.38922994140114
T2016,34904936746.480255,69000080.0,4389789.0,1761,1808.9305839322444
99213,33002827263.847927,764306590.0,639378224.0,164075,43.98075173970291
S5125,31342185586.04005,398071209.0,19413061.0,4555,204.41488967060477
99214,29913857937.713726,502480931.0,432874138.0,150306,58.54861796920992
99284,20151783534.429962,170705529.0,154899942.0,21452,106.94992471150987
H2016,19747791724.78992,60739036.0,4214296.0,2115,1105.7262195939204
99283,16874996865.60999,157926994.0,144272501.0,20157,83.41533239201902
H2015,16470573872.770021,109877296.0,20834363.0,3908,162.23696528423883
99285,15097200452.300228,111002396.0,99843804.0,17705,119.50235615254917
90837,12067590643.090273,127195989.0,56881182.0,44034,90.79717972358044
S5102,9340779714.29999,111095812.0,7491536.0,2146,123.21546545675581
90834,8821622005.819973,108817687.0,54295935.0,27908,65.37153217481642
T2021,8653524974.89001,55550230.0,5412523.0,2363,348.301121797507
H2017,8540416258.8099785,78677933.0,13916632.0,4499,118.19983240124573
T1017,8423668162.810006,75144121.0,30016959.0,4498,112.43308642545047
T1020,8212560786.119995,33504642.0,5227037.0,1038,702.703574969101
90999,7739248802.630012,90103258.0,6946377.0,4989,95.29758692837441
A0427,7674558268.409979,33489615.0,27655270.0,5789,212.86207525447804
92507,7484161290.329925,129458330.0,35866850.0,16583,58.56599727280613
H2019,7466162701.299953,69547577.0,18763291.0,5661,107.95768684643835
T2033,7422419481.580008,16562508.0,1259038.0,716,2058.36365146341
T1000,7014566028.820005,16800136.0,764197.0,489,419.41636770843735
H2014,6759118318.499979,60726091.0,9274835.0,3858,152.853667189485
H0004,6554190803.840004,73272784.0,27839525.0,8787,84.08968484021953
S5140,6394345181.389997,40883741.0,1901945.0,440,703.1283319253921
H0020,6253632954.989998,312323784.0,22496570.0,1847,42.81001793088053
97530,6219314705.239975,126200638.0,35441947.0,22079,50.48540856930355
A0429,6056979386.160041,31005479.0,25244819.0,6413,186.56990243948567
H0019,5981904018.439994,20357508.0,1373348.0,756,1082.5795545617507
T1040,5780366099.560025,30095351.0,9248813.0,549,127.3202453717398
99509,5574554313.580023,79677945.0,5258026.0,1853,101.69772556415111
00003,5330165952.539995,20180301.0,14346885.0,693,284.6404429765401
T2023,5213703804.739976,12595953.0,11646618.0,1300,459.83613821792807
T1016,5212118019.49999,98273616.0,33883394.0,4775,76.99507631965027
97153,5146687913.109999,26012994.0,2018301.0,2214,189.00545787515566
97110,4962727015.450001,135669845.0,38834892.0,25320,35.04950213600112
S9124,4956847254.2199955,11998345.0,913358.0,665,461.0856374529768
S5130,4894878973.21001,87575527.0,7793135.0,3199,114.88304571590947
H2036,4700742263.229999,18209988.0,1519281.0,976,714.1319891141551
T2031,4653708307.009999,14265863.0,1767067.0,2011,1164.5292868816073
H0036,4540606914.250011,56498126.0,13613698.0,2659,82.79049621051625
G0463,4447234569.650091,72375290.0,58015043.0,3289,63.1925564007918
S5126,4443797124.690004,49138345.0,1973757.0,81,396.4438531233327
H0018,4400753703.570005,10693683.0,1322160.0,1051,1030.6576720651503
T2046,4189601279.489995,14075770.0,1003202.0,831,1779.3875982215618
U0003,4128082572.089988,68714959.0,49314205.0,5599,66.44694874653206
A0100,3993212793.570009,157024238.0,25452658.0,1934,31.706453521541736
H2022,3928019188.669997,7894247.0,1003634.0,507,1790.2520592470964
