CLAIM_FROM_MONTH,total_paid,total_claims,providers,paid_3m_avg,paid_6m_avg,paid_12m_avg,cumulative_paid,paid_std_6m,cv_6m
2018-01-01,9232048522.369883,187217689.0,230343,,,,9232048522.369883,,
2018-02-01,8420467832.359913,171352502.0,223890,8927484114.46321,,,17652516354.729797,,
2018-03-01,9129935988.659828,183682093.0,229785,8843859171.16323,,,26782452343.389626,,
2018-04-01,8981173692.46995,179619696.0,227737,9165266369.393187,8959244121.393225,,35763626035.85957,373976803.06195414,0.04174200390063689
2018-05-01,9384689427.049782,185076176.0,228477,8991004128.32324,8896335138.2699,,45148315462.909355,349879202.4074622,0.03932846469580106
2018-06-01,8607149265.44999,164850507.0,216671,8948811105.376568,9074979638.784887,,53755464728.359344,331469480.4067099,0.03652564453038185
2018-07-01,8854594623.629932,169724543.0,215506,8984692908.17659,8996927147.903233,9055479122.782408,62610059351.98927,368958551.1193268,0.041009396325423615
2018-08-01,9492334835.449848,186434915.0,225891,9002850167.483225,9153628143.554886,9163633838.076578,72102394187.43912,526817831.42766684,0.057552898497258906
2018-09-01,8661621043.369898,168487953.0,214527,9358445181.733204,9101667157.77659,9268642607.362406,80764015230.80902,514705623.449987,0.056550697199492225
2018-10-01,9921379666.379866,198197925.0,229358,9218641407.37659,9151714124.171593,9394356269.407412,90685394897.18889,469629836.221574,0.05131605181822532
2018-11-01,9072923512.380009,173605775.0,216770,9300578080.859959,9430932537.88326,9534491852.597408,99758318409.5689,699444603.1715096,0.0741649460816202
2018-12-01,8907431063.820004,166190908.0,211803,9503419894.033316,9462305575.939924,9651470247.044922,108665749473.3889,706931157.8160608,0.07471024394029241
2019-01-01,10529905105.899931,202463697.0,229768,9705969744.503258,9791785390.91159,9744448571.131588,119195654579.28883,719687996.8384224,0.07349915956148435
2019-02-01,9680573063.78984,187149977.0,223699,10282992700.96322,9915355561.63993,9870296936.144926,128876227643.07867,804985654.2475531,0.0811857577111853
2019-03-01,10638499933.19989,202656457.0,230714,10327291229.246546,10201273336.313253,9964994369.621593,139514727576.27856,748609801.1503125,0.07338395673464629
2019-04-01,10662800690.749908,204034522.0,233371,10696576928.123247,10337183018.091581,10120704950.203264,150177528267.02847,499215008.11038595,0.04829313820183765
2019-05-01,10788430160.419949,203400802.0,231476,10391373335.219942,10309661334.406591,10284828544.107443,160965958427.44843,490948668.95057285,0.04762025182263963
2019-06-01,9722889154.489975,179172702.0,219912,10292031439.566637,10467683163.303263,10419985891.584116,170688847581.93842,390221419.51295465,0.037278680814581834
2019-07-01,10364775003.789991,193812066.0,225116,10238789398.48328,10449624509.494936,10575516340.135775,181053622585.7284,383178960.6979897,0.03666916072915523
2019-08-01,10628704037.169872,202465238.0,231294,10507875683.769928,10654301526.574955,10732801641.166601,191682326622.89825,709154171.9446515,0.0665603625142214
