CLAIM_FROM_MONTH,total_paid,total_claims,providers,velocity_paid,velocity_claims,accel_paid,accel_claims,velocity_pct,accel_pct
2018-01-01,915678792.7700018,18801485.0,82061,,,,,,
2018-02-01,869453389.9600036,17633471.0,78716,-46225402.809998155,-1168014.0,,,-5.048211575389072,
2018-03-01,910451511.9699979,18556947.0,81633,40998122.00999427,923476.0,87223524.81999242,2091490.0,4.715390437649591,9.763602013038664
2018-04-01,894196311.7700002,17718661.0,80698,-16255200.199997663,-838286.0,-57253322.20999193,-1761762.0,-1.7853998797613402,-6.500790317410932
2018-05-01,914832486.3900024,17921632.0,80442,20636174.62000215,202971.0,36891374.819999814,1041257.0,2.3077901740786944,4.0931900538400345
2018-06-01,860915454.890008,16432312.0,75976,-53917031.4999944,-1489320.0,-74553206.11999655,-1692291.0,-5.8936507286437845,-8.201440902722478
2018-07-01,902859917.6800013,17409679.0,76396,41944462.789993286,977367.0,95861494.28998768,2466687.0,4.872076874883402,10.765727603527186
2018-08-01,947114083.8499995,18593291.0,81771,44254166.16999829,1183612.0,2309703.380005002,206245.0,4.9015539734795555,0.02947709859615344
2018-09-01,846768528.7900021,16366280.0,75674,-100345555.05999744,-2227011.0,-144599721.22999573,-3410623.0,-10.5948751867457,-15.496429160225254
2018-10-01,980857304.189999,19722524.0,83383,134088775.39999688,3356244.0,234434330.45999432,5583255.0,15.83535179225477,26.43022697900047
2018-11-01,876734010.7799995,17025895.0,76726,-104123293.40999949,-2696629.0,-238212068.80999637,-6052873.0,-10.615539382253514,-26.450891174508286
2018-12-01,922000918.0399991,16727177.0,73557,45266907.25999963,-298718.0,149390200.66999912,2397911.0,5.163128919765225,15.77866830201874
2019-01-01,1057515797.350001,20045436.0,83040,135514879.31000185,3318259.0,90247972.05000222,3616977.0,14.69791153766755,9.534782617902327
2019-02-01,951916157.9299985,18836965.0,80215,-105599639.42000246,-1208471.0,-241114518.7300043,-4526730.0,-9.985632336143023,-24.683543873810574
2019-03-01,1028575097.7899994,20231357.0,83244,76658939.86000085,1394392.0,182258579.2800033,2602863.0,8.053118882518028,18.03875121866105
2019-04-01,1045190587.5999968,20105167.0,84353,16615489.80999744,-126190.0,-60043450.05000341,-1520582.0,1.6153890800679083,-6.43772980245012
2019-05-01,1066504186.0599998,20410127.0,82898,21313598.46000302,304960.0,4698108.650005579,431150.0,2.039206888472278,0.4238178084043698
2019-06-01,966177853.7600013,17539100.0,78057,-100326332.29999852,-2871027.0,-121639930.76000154,-3175987.0,-9.407026583799482,-11.44623347227176
2019-07-01,1009565693.749997,19021811.0,81170,43387839.98999572,1482711.0,143714172.28999424,4353738.0,4.490668029819411,13.897694613618892
2019-08-01,1031496515.4400012,20557411.0,84041,21930821.69000423,1535600.0,-21457018.29999149,52889.0,2.1723025877140145,-2.3183654421053967
2019-09-01,1027533756.9599986,20018593.0,83495,-3962758.4800026417,-538818.0,-25893580.17000687,-2074418.0,-0.3841756535951313,-2.556478241309146
2019-10-01,1297957196.0000017,24266222.0,89922,270423439.04000306,4247629.0,274386197.5200057,4786447.0,26.31771824607125,26.701893899666384
2019-11-01,1095231916.9600017,19747101.0,81875,-202725279.03999996,-4519121.0,-473148718.080003,-8766750.0,-15.618795416732656,-41.936513662803904
2019-12-01,1109149977.2400045,20238208.0,79285,13918060.280002832,491107.0,216643339.3200028,5010228.0,1.2707865854233669,16.889582002156022
2020-01-01,1159575107.2800028,21956388.0,89216,50425130.03999829,1718180.0,36507069.75999546,1227073.0,4.5462859915009535,3.2754994060775866
2020-02-01,1183370762.320002,21742193.0,85256,23795655.039999247,-214195.0,-26629474.999999046,-1932375.0,2.0521012300631636,-2.49418476143779
2020-03-01,1122152640.7200031,18403526.0,74992,-61218121.59999895,-3338667.0,-85013776.6399982,-3124472.0,-5.173198759785191,-7.225299989848355
2020-04-01,845066624.5099978,12765586.0,51522,-277086016.2100053,-5637940.0,-215867894.61000633,-2299273.0,-24.692364136149912,-19.51916537636472
2020-05-01,904901803.3999995,14323062.0,61859,59835178.890001655,1557476.0,336921195.10000694,7195416.0,7.080527990878394,31.772892127028307
2020-06-01,1096370564.5800006,18688304.0,75561,191468761.18000114,4365242.0,131633582.28999949,2807766.0,21.15906504557654,14.078537054698145
2020-07-01,1193699124.2499988,19870199.0,78841,97328559.66999817,1181895.0,-94140201.51000297,-3183347.0,8.87734154986941,-12.28172349570713
2020-08-01,1104321391.6000047,19904588.0,79907,-89377732.64999413,34389.0,-186706292.3199923,-1147506.0,-7.487459011595588,-16.364800561464996
2020-09-01,1098272215.3900003,19994102.0,84301,-6049176.21000433,89514.0,83328556.4399898,55125.0,-0.5477731624160542,6.939685849179534
2020-10-01,1254539034.559999,22166706.0,89097,156266819.16999865,2172604.0,162315995.38000298,2083090.0,14.22842324336755,14.776196405783605
2020-11-01,1246361399.069992,21207349.0,85715,-8177635.490006924,-959357.0,-164444454.66000557,-3131961.0,-0.6518438458054887,-14.880267089173039
2020-12-01,1225900475.789998,21520989.0,86076,-20460923.27999401,313640.0,-12283287.789987087,1272997.0,-1.6416525170999008,-0.9898086712944121
2021-01-01,1258713777.6100008,22707355.0,89174,32813301.820002794,1186366.0,53274225.099996805,872726.0,2.6766693110920947,4.318321828191996
2021-02-01,1209737997.4299989,21278090.0,87029,-48975780.180001974,-1429265.0,-81789082.00000477,-2615631.0,-3.89093859550782,-6.567607906599915
2021-03-01,1450980524.940006,26368343.0,97960,241242527.51000714,5090253.0,290218307.6900091,6519518.0,19.941716968674996,23.832655564182815
2021-04-01,1317181656.0100038,24145108.0,95364,-133798868.93000221,-2223235.0,-375041396.44000936,-7313488.0,-9.221272555366266,-29.16298952404126
2021-05-01,1357400871.2000098,23692437.0,92100,40219215.19000602,-452671.0,174018084.12000823,1770564.0,3.0534296470418276,12.274702202408093
2021-06-01,1320430373.570008,23960250.0,93779,-36970497.63000178,267813.0,-77189712.8200078,720484.0,-2.723624127139246,-5.7770537741810735
2021-07-01,1349546817.2200031,24372165.0,91850,29116443.64999509,411915.0,66086941.27999687,144102.0,2.205072242565409,4.928696369704655
2021-08-01,1504638677.1400087,26490454.0,96065,155091859.92000556,2118289.0,125975416.27001047,1706374.0,11.492143728624903,9.287071486059494
2021-09-01,1360374604.6300006,24965889.0,95344,-144264072.5100081,-1524565.0,-299355932.43001366,-3642854.0,-9.58795455027268,-21.080098278897584
2021-10-01,1349883723.9600024,25000364.0,96450,-10490880.669998169,34475.0,133773191.84000993,1559040.0,-0.7711758683448422,8.816778681927838
2021-11-01,1325082677.240003,23842064.0,94586,-24801046.719999313,-1158300.0,-14310166.050001144,-1192775.0,-1.8372728168944308,-1.0660969485495886
2021-12-01,1392958757.070004,24187797.0,91989,67876079.83000088,345733.0,92677126.55000019,1504033.0,5.122403378737017,6.959676195631448
2022-01-01,1528539463.2000046,25749425.0,92683,135580706.1300006,1561628.0,67704626.29999971,1215895.0,9.733289334078021,4.610885955341004
2022-02-01,1269644085.0900085,22862490.0,91179,-258895378.10999608,-2886935.0,-394476084.2399967,-4448563.0,-16.937435005308753,-26.670724339386773
2022-03-01,1588421977.6700032,27751800.0,100274,318777892.5799947,4889310.0,577673270.6899908,7776245.0,25.10765783289539,42.04509283820414
2022-04-01,1430791599.1399956,25364123.0,94930,-157630378.5300076,-2387677.0,-476408271.1100023,-7276987.0,-9.923709237593759,-35.03136707048915
2022-05-01,1497902166.040006,25941518.0,95000,67110566.90001035,577395.0,224740945.43001795,2965072.0,4.690450163416426,14.614159401010184
2022-06-01,1524837399.1900024,25486690.0,94033,26935233.14999652,-454828.0,-40175333.75001383,-1032223.0,1.7981970892801957,-2.8922530741362307
2022-07-01,1385998440.1799927,23363116.0,89458,-138838959.01000977,-2123574.0,-165774192.16000628,-1668746.0,-9.105164857824278,-10.903361947104473
2022-08-01,1635320586.2599993,27114439.0,98965,249322146.0800066,3751323.0,388161105.09001637,5874897.0,17.98863107289128,27.093795930715558
2022-09-01,1474548135.9900067,25778426.0,96620,-160772450.2699926,-1336013.0,-410094596.3499992,-5087336.0,-9.831249702401257,-27.81988077529254
2022-10-01,1684378586.1400037,28169392.0,98308,209830450.149997,2390966.0,370602900.4199896,3726979.0,14.230152616151637,24.061402318552894
2022-11-01,1621043801.5000033,27597750.0,96327,-63334784.64000034,-571642.0,-273165234.78999734,-2962608.0,-3.7601276317066668,-17.990280247858305
2022-12-01,1508821085.6900048,25660166.0,92417,-112222715.80999851,-1937584.0,-48887931.16999817,-1365942.0,-6.922867581132309,-3.162739949425642
2023-01-01,1642126248.2400002,27541685.0,98145,133305162.54999542,1881519.0,245527878.35999393,3819103.0,8.835054322496628,15.757921903628937
2023-02-01,1511857709.1000109,25496721.0,95688,-130268539.13998938,-2044964.0,-263573701.6899848,-3926483.0,-7.932918633972797,-16.767972956469425
