CLAIM_FROM_MONTH,1184703415,1376609297,1417262056,1538649983,1629436241,1699703827,1699725143,1710176151,1922467554,1982757688,market_total,share_1376609297,share_1417262056,share_1699703827,share_1699725143,share_1710176151,share_1629436241,share_1982757688,share_1922467554,share_1184703415,share_1538649983,top10_combined
2018-01-01,0.0,0.0,206953.05,0.0,1060077.19,7245706.5600000005,1311254.0999999996,311388.01,5695816.02,1432153.7699999998,915678792.7700031,0.0,0.022601053080409356,0.791293477277239,0.14320022592565992,0.03400624896619325,0.11576954696014964,0.15640350975778503,0.6220320995716949,0.0,0.0,1.885306161539131
2018-02-01,5215241.18,0.0,25309868.12,0.0,1104506.95,7922962.570000001,3161116.6000000006,277778.43,0.0,1785757.2500000002,869453389.9599997,0.0,2.9110091940827805,0.9112578847227805,0.36357516532834866,0.031948628092965344,0.12703463610059812,0.20538849702824857,0.0,0.5998298747492299,0.0,5.150043880104952
2018-03-01,238689.87,0.0,600317.3,0.0,686913.16,5526260.390000001,2784325.4,3788391.2,6260503.13,1475928.79,910451511.9699975,0.0,0.06593621869011543,0.6069801979945648,0.3058180873328873,0.4161002700520355,0.07544752806370605,0.16210954351719908,0.6876261994945542,0.026216648208264564,0.0,2.3462346933533276
2018-04-01,0.0,0.0,28802601.24,0.0,2923498.1900000004,7993559.320000001,3966425.79,576889.8099999999,131789.36,2599243.1999999997,894196311.7699978,0.0,3.221060169996374,0.8939378540018041,0.44357438492994267,0.06451489481745766,0.32694142790783204,0.290679257539654,0.014738302793838675,0.0,0.0,5.255446291986904
2018-05-01,7356717.98,0.0,1532063.71,0.0,951003.53,7514753.31,1015341.4400000001,1043766.49,7832458.2299999995,3232775.9099999997,914832486.3900023,0.0,0.16746931627293196,0.8214348989347525,0.11098659646495651,0.11409372814456786,0.10395384337002847,0.3533735364773475,0.8561631059810161,0.8041601155890477,0.0,3.3316351412346483
2018-06-01,0.0,175705.87,0.0,0.0,2253189.72,7314925.91,1382126.98,0.0,0.0,2502994.65,860915454.8900027,0.020409189892223453,0.0,0.849668323230951,0.1605415458799716,0.0,0.2617202080880155,0.2907364057391445,0.0,0.0,0.0,1.5830756728303057
2018-07-01,7624444.67,0.0,29397638.310000002,0.0,1055119.48,5102354.279999999,1757501.79,410832.35,0.0,1812671.5099999998,902859917.6800026,0.0,3.2560575272341756,0.5651324397156823,0.1946594101237868,0.045503443220259315,0.11686414019920666,0.20076996159690616,0.0,0.8444770357722653,0.0,5.223463957862282
2018-08-01,0.0,243850.77,4867921.109999999,0.0,957911.31,9242806.54,1372526.81,5658820.2,0.0,3536948.1300000004,947114083.849998,0.025746715644724864,0.5139741022762545,0.975891573951492,0.14491673531246718,0.5974803137756141,0.10114001326071635,0.3734447824513794,0.0,0.0,0.0,2.7325942366726483
2018-09-01,0.0,0.0,2002665.6300000001,0.0,919416.49,5358563.739999999,2085354.8800000006,1067601.24,0.0,2080593.4,846768528.7900004,0.0,0.2365068565859116,0.6328250942033923,0.24627212858039169,0.1260794660762323,0.10857943567102225,0.24570981670434627,0.0,0.0,0.0,1.5959727978212963
2018-10-01,11681742.32,0.0,191545.19999999998,0.0,635665.07,8081750.26,1713415.28,1169201.45,0.0,1801051.7,980857304.1899996,0.0,0.01952834517128663,0.823947604353518,0.17468547898666598,0.11920199248202945,0.06480708939869063,0.18362015476729554,0.0,1.1909726593356904,0.0,2.576763324495176
