BILLING_PROVIDER_NPI_NUM,total_paid,total_claims,risk_upcoding,risk_velocity,risk_phantom,risk_cost_outlier,risk_relationship,risk_temporal,fraud_score,risk_tier
1861445272,1492.51,4201.0,0,1,1,1,1,1,5,High
1497843734,1177988.97,5410.0,1,1,0,1,1,1,5,High
1326519612,1736999.7200000002,17108.0,1,1,1,1,1,0,5,High
1023398310,36749.86,13705.0,0,1,1,1,1,1,5,High
1689987539,536218.7400000001,12116.0,0,1,1,1,1,1,5,High
1932650546,361644.9,11723.0,1,1,0,1,1,1,5,High
1740288505,2844273.189999999,13321.0,1,1,0,1,1,1,5,High
1386787422,551764.1100000001,71443.0,0,1,1,1,1,1,5,High
1427273705,493059.19999999995,1298.0,1,1,0,1,1,1,5,High
1881731891,43930.0,299.0,1,1,0,1,1,1,5,High
1790824530,102817.0,1549.0,0,1,1,1,1,1,5,High
1528027414,316852.52999999997,8711.0,0,1,1,1,1,1,5,High
1184783409,466885.06999999995,60091.0,0,1,1,1,1,1,5,High
1164920963,1670763.0,3162.0,1,1,1,1,1,0,5,High
1548430689,100706.07,7527.0,0,1,1,1,1,1,5,High
1881994994,36942.59,451.0,1,1,0,1,1,1,5,High
1508837865,50864.719999999994,3789.0,0,1,1,1,1,1,5,High
1386885671,1078565.1699999997,9857.0,0,1,1,1,1,1,5,High
1942244462,11401.58,5581.0,0,1,1,1,1,1,5,High
1083612089,299813.55,5823.0,0,1,1,1,1,1,5,High
1366852766,11868.470000000001,7193.0,0,1,1,1,1,1,5,High
1326090960,2036.04,5369.0,0,1,1,1,1,1,5,High
1033183942,125301.52,1402.0,1,1,1,1,0,1,5,High
1881639342,3536702.0999999978,29843.0,0,1,1,1,1,1,5,High
1952413759,69879.33,962.0,0,1,1,1,1,1,5,High
1780064808,150229.90000000002,15730.0,0,1,1,1,1,1,5,High
1326053166,2310725.8200000003,9619.0,1,1,1,1,1,0,5,High
1609988450,1983845.329999999,11237.0,1,1,0,1,1,1,5,High
1699356683,3714113.8899999997,13773.0,1,1,1,1,0,1,5,High
1063817823,13035.619999999999,240.0,1,1,0,1,1,1,5,High
1871143339,134382.44999999998,1938.0,0,1,1,1,1,1,5,High
1124127683,13274232.160000002,73614.0,0,1,1,1,1,1,5,High
1073061032,71275.93000000001,613.0,1,1,0,1,1,1,5,High
1699420976,13531.48,181.0,1,1,0,1,1,1,5,High
1912135419,8409.45,3021.0,0,1,1,1,1,1,5,High
1215921457,27400724.810000002,164062.0,1,1,1,1,1,0,5,High
1528323268,581043.0200000001,10599.0,1,1,0,1,1,1,5,High
1104268325,1206149.7299999997,13455.0,1,1,1,1,1,0,5,High
1437122009,1276068.040000001,26471.0,1,1,1,1,1,0,5,High
1649838533,4668710.0,22081.0,1,1,1,1,1,0,5,High
1508313818,18955.29,154.0,1,1,0,1,1,1,5,High
1073715579,65400.0,131.0,1,1,0,1,1,1,5,High
1235563958,61641.71,712.0,1,1,0,1,1,1,5,High
1740648856,3936159.93,9911.0,0,1,1,1,1,1,5,High
1417910126,1243531.89,3042.0,1,1,1,1,1,0,5,High
1518239219,4075605.0900000003,45906.0,1,1,0,1,1,0,4,High
1083141600,615797.62,6733.0,1,1,0,1,1,0,4,High
1518479765,516442.2099999999,2867.0,1,1,0,1,0,1,4,High
1841451416,44260.409999999996,346.0,1,1,0,1,1,0,4,High
1326004466,4757711.719999999,67389.0,0,1,1,1,0,1,4,High
1861005241,335536.77,11981.0,0,1,1,0,1,1,4,High
1972913473,2043022.5100000002,14608.0,1,1,0,1,0,1,4,High
1720190572,789062.7100000003,8774.0,1,1,0,1,1,0,4,High
1275775082,33345.950000000004,1186.0,0,1,0,1,1,1,4,High
1295847168,91718.21999999999,7691.0,0,1,0,1,1,1,4,High
1497202394,15827.72,135.0,1,1,0,1,0,1,4,High
1447526157,22910.41,465.0,0,1,0,1,1,1,4,High
1972153229,219416.68,13620.0,0,1,1,1,1,0,4,High
1538105382,23262.510000000002,1694.0,0,1,0,1,1,1,4,High
1720455876,3907.8900000000003,11840.0,0,1,0,1,1,1,4,High
1952333460,1720511.3299999996,274872.0,0,1,0,1,1,1,4,High
1730519927,3571.42,1484.0,0,1,0,1,1,1,4,High
1104299254,525510.62,14262.0,0,1,1,1,0,1,4,High
1053358945,2198871.2599999993,28283.0,0,1,1,1,1,0,4,High
1689722431,226633.77000000002,25193.0,0,1,0,1,1,1,4,High
1750493508,2067387.9700000004,17356.0,1,1,0,1,1,0,4,High
1255692372,1080.03,2152.0,0,1,0,1,1,1,4,High
1063468072,553192.07,14270.0,0,1,0,1,1,1,4,High
1699334748,14310.979999999998,339.0,0,1,0,1,1,1,4,High
1295021178,1667827.55,2004.0,1,1,0,1,0,1,4,High
1073589065,45637.34,3460.0,0,1,0,1,1,1,4,High
1770012809,83449.47999999998,4293.0,0,1,0,1,1,1,4,High
1285372334,29458.9,798.0,0,1,0,1,1,1,4,High
1730389248,759907.28,2195.0,1,0,1,1,0,1,4,High
1821179656,385734.47000000003,27975.0,0,1,0,1,1,1,4,High
1477637874,4033885.1,2733.0,1,1,1,1,0,0,4,High
1073580890,529652.9600000002,32823.0,0,1,0,1,1,1,4,High
1851306724,4115.750000000001,4247.0,0,1,0,1,1,1,4,High
1770678211,50558.96,375.0,1,1,0,1,1,0,4,High
1962601393,908893.3400000001,7259.0,1,1,0,1,1,0,4,High
1871073304,18749.89,5545.0,0,1,0,1,1,1,4,High
1093869323,2023827.26,38163.0,0,1,0,1,1,1,4,High
1477679629,1216739.11,2604.0,1,1,0,1,1,0,4,High
1477033405,8869.83,3093.0,0,1,0,1,1,1,4,High
1770554917,156066.08000000005,6917.0,0,1,0,1,1,1,4,High
1245210749,84243.41999999997,7193.0,0,1,0,1,1,1,4,High
1215342175,1919710.36,16524.0,0,1,0,1,1,1,4,High
1033164033,569171.47,4494.0,1,1,0,1,1,0,4,High
1437215134,2310008.899999999,31056.0,1,1,0,1,1,0,4,High
1306131545,823547.69,13574.0,0,1,0,1,1,1,4,High
1639400260,24457.450000000004,7931.0,0,1,0,1,1,1,4,High
1447628342,27067.250000000004,4173.0,0,1,0,1,1,1,4,High
1679262737,170785.96,311.0,1,1,0,1,0,1,4,High
1205857349,51560.79999999999,1429.0,0,1,0,1,1,1,4,High
1235290818,12346720.520000009,163694.0,0,1,0,1,1,1,4,High
1689722639,436064.78000000014,6414.0,1,1,0,1,1,0,4,High
1669553236,7915.589999999999,2445.0,0,1,0,1,1,1,4,High
1558792549,181729.82000000004,5842.0,0,1,0,1,1,1,4,High
1346659927,723037.5099999999,19922.0,0,1,1,1,1,0,4,High
1457309270,164409.05999999997,10219.0,0,1,1,1,0,1,4,High
1295738896,4803656.830000001,92886.0,0,1,1,1,1,0,4,High
1275714347,38980.83,4984.0,0,1,0,1,1,1,4,High
