month_num,avg_paid,std_paid,avg_claims,month_name,seasonal_index
1,1325008287.9399981,306409730.4276298,23364537.714285713,Jan,102.2499977758696
2,1235839873.915715,280245482.2703447,22122995.0,Feb,95.36893128093034
3,1372156484.701431,350700628.7118881,23883563.85714286,Mar,105.88839238658399
4,1255528608.847141,332279782.58514446,21668927.0,Apr,96.88829770397203
5,1304807772.415716,347073184.7649239,22268438.42857143,May,100.69113758893407
6,1267825505.4157157,294297345.2944141,21451825.57142857,Jun,97.83724093567187
7,1272513849.8985708,247185344.88062286,21704043.57142857,Jul,98.19903732389655
8,1346444679.6328552,305646983.56667966,23394550.85714286,Aug,103.90422969492047
9,1281289003.2614248,294510812.0590065,22404705.42857143,Sep,98.87621000274048
10,1413271088.4571433,273136316.77953154,24469717.14285714,Oct,109.06117868599144
11,1291868113.5371454,264715932.45996475,21905050.714285713,Nov,99.69259282238673
12,1183666586.3899982,429197587.1099214,19967563.714285713,Dec,91.34275379810245
