CLAIM_FROM_MONTH,year,month_num,total_paid,total_claims,paid_pct_change
2018-01-01,2018,1,102706107.1700001,2044579.0,
2018-02-01,2018,2,85964207.90999988,1718389.0,-16.300782612945184
2018-03-01,2018,3,85479386.32999997,1804011.0,-0.5639807447623935
2018-04-01,2018,4,82255743.43999994,1720920.0,-3.7712517934498258
2018-05-01,2018,5,86934194.41,1734796.0,5.687689119742356
2018-06-01,2018,6,84016630.91000003,1610310.0,-3.3560597412798487
2018-07-01,2018,7,88209530.39999999,1695023.0,4.990558945991852
2018-08-01,2018,8,90508617.69000006,1740944.0,2.6063932996519767
2018-09-01,2018,9,80012367.58000013,1651610.0,-11.596962121276121
2018-10-01,2018,10,100832352.06999989,2196732.0,26.02095790901695
2018-11-01,2018,11,87543415.96,1741883.0,-13.17923844598452
2018-12-01,2018,12,92578570.07000011,1654887.0,5.751607993342134
2019-01-01,2019,1,112352236.6599999,2191211.0,21.358794562336204
2019-02-01,2019,2,96210246.10999995,1960119.0,-14.367306811032886
2019-03-01,2019,3,106264987.46,2008750.0,10.450800986938713
2019-04-01,2019,4,113487878.72000007,1976745.0,6.797056521292033
2019-05-01,2019,5,116219457.78,2135492.0,2.4069346354947285
2019-06-01,2019,6,92399242.46000002,1840155.0,-20.495892662905845
2019-07-01,2019,7,101925102.86999997,1862962.0,10.309457260024324
2019-08-01,2019,8,119066048.06000009,2346763.0,16.81719685077234
2019-09-01,2019,9,111257600.81000015,1992330.0,-6.558080474851313
2019-10-01,2019,10,118708386.5199999,2236186.0,6.696877926321476
2019-11-01,2019,11,96876695.86000018,2086671.0,-18.39102636301231
2019-12-01,2019,12,91850639.47000013,1797116.0,-5.188096420281896
2020-01-01,2020,1,132336887.04000014,2545313.0,44.07835133605516
2020-02-01,2020,2,112691309.19999997,2050353.0,-14.845126162036815
2020-03-01,2020,3,91793805.91,1725215.0,-18.544023881124616
2020-04-01,2020,4,84792699.3299999,1180689.0,-7.626992377747577
2020-05-01,2020,5,100255969.24999976,1457017.0,18.236558149681304
2020-06-01,2020,6,107034321.5699999,1946613.0,6.761046120952208
2020-07-01,2020,7,110228438.26000002,1838507.0,2.9841985665422177
2020-08-01,2020,8,150498988.4200001,2165066.0,36.53372105754815
2020-09-01,2020,9,104177052.17000014,2018819.0,-30.778902061938485
2020-10-01,2020,10,103508148.89000021,2054078.0,-0.6420831325773979
2020-11-01,2020,11,118544209.1100001,2089409.0,14.526450700977133
2020-12-01,2020,12,130697656.34000008,2181395.0,10.252248778109863
2021-01-01,2021,1,123440525.05999988,2244232.0,-5.552610110407274
2021-02-01,2021,2,126209320.52000022,2208544.0,2.2430198337657137
2021-03-01,2021,3,129866775.88000004,2522186.0,2.8979280966972887
2021-04-01,2021,4,145092520.6100001,2384378.0,11.724126226148112
2021-05-01,2021,5,124653156.75000036,2315102.0,-14.087124390746176
2021-06-01,2021,6,145013281.91000003,2392509.0,16.333421223205093
2021-07-01,2021,7,125092445.13000003,2308349.0,-13.737249800582763
2021-08-01,2021,8,137873276.74999985,2590567.0,10.217109120153168
2021-09-01,2021,9,131689224.55000003,2362390.0,-4.485316042218335
2021-10-01,2021,10,162243285.7800001,2518300.0,23.201641086738455
2021-11-01,2021,11,134214626.0600001,2498664.0,-17.27569778018827
2021-12-01,2021,12,143477629.0799999,2375661.0,6.901634562434955
2022-01-01,2022,1,128380125.67999978,2388820.0,-10.522548704496703
2022-02-01,2022,2,122746208.91999997,2346258.0,-4.388464904640232
2022-03-01,2022,3,156270093.70999998,2934427.0,27.311543944994064
2022-04-01,2022,4,135989174.19,2544164.0,-12.978119509953412
2022-05-01,2022,5,131453693.88999988,2362316.0,-3.3351774705707715
2022-06-01,2022,6,152180008.40000013,2494421.0,15.767008059388555
2022-07-01,2022,7,134549285.57999992,2311902.0,-11.58543951033202
2022-08-01,2022,8,164351772.60000035,2817942.0,22.14986641625871
2022-09-01,2022,9,169531345.34000018,2655238.0,3.1515162009270625
2022-10-01,2022,10,146530996.81999958,2749281.0,-13.567018225374616
