BILLING_PROVIDER_NPI_NUM,SERVICING_PROVIDER_NPI_NUM,HCPCS_CODE,CLAIM_FROM_MONTH,TOTAL_UNIQUE_BENEFICIARIES,TOTAL_CLAIMS,TOTAL_PAID,cost_per_claim,cost_per_bene
1376609297,1376609297,T1019,2023-12,35011,1126059,108654424.08,96.49088021142764,3103.436750735483
1376609297,1376609297,T1019,2022-01,37841,1056979,101079555.0,95.63061801606275,2671.1650062101953
1376609297,1376609297,T1019,2023-09,35096,1050555,100054621.4,95.23977459533295,2850.8839012992935
1376609297,1376609297,T1019,2022-03,38098,1013674,98713611.08,97.3820094823385,2591.0444401280906
1376609297,1376609297,T1019,2022-10,37981,1120009,98339631.52,87.80253687247156,2589.1796298149075
1376609297,1376609297,T1019,2022-11,34438,1071071,93439759.64,87.23955707884912,2713.274860328707
1376609297,1376609297,T1019,2021-08,18575,559574,49237837.4,87.99164614510323,2650.758406460296
1922467554,1922467554,T1019,2022-08,17959,355577,46252616.5,130.07763859867202,2575.4561222785233
1417262056,1417262056,T1019,2022-12,29808,558276,46125624.97,82.62154377046478,1547.4243481615674
1417262056,1417262056,T1019,2022-11,29457,549751,45374745.42,82.53690383464514,1540.372251756798
1417262056,1417262056,T1019,2022-08,28481,553632,43723874.8,78.97642260562972,1535.1945086197816
1417262056,1417262056,T1019,2022-06,28131,542912,42622382.5,78.5069817944713,1515.1392591802637
1376609297,1376609297,T1019,2020-10,17265,474358,40041691.85,84.41238863896045,2319.2407674485953
1376609297,1376609297,T1019,2021-03,18439,535720,40005121.75,74.67543072873889,2169.5928060090027
1376609297,1376609297,T1019,2020-11,17306,468702,39056067.17,83.32814276448575,2256.793434069109
1417262056,1417262056,T1019,2022-01,26406,534913,38879006.53,72.68285969867998,1472.3550151480724
1376609297,1376609297,T1019,2020-03,18493,500764,38382515.39,76.64791276928852,2075.51589195912
1538649983,1538649983,S5126,2023-11,13245,352319,37025986.8,105.0922226732024,2795.46899207248
1376609297,1376609297,T1019,2021-01,18255,448992,36485169.66,81.26017759781911,1998.6398060805257
1376609297,1376609297,T1019,2020-02,18406,468255,35746118.79,76.33900073677803,1942.090556883625
1417262056,1417262056,S5126,2023-05,13919,330699,34075850.66,103.04189205289401,2448.1536504059195
1538649983,1538649983,S5126,2023-03,9931,286432,30455869.78,106.3284471707072,3066.747535998389
1922467554,1922467554,T1019,2021-05,12553,239017,30211046.29,126.39706083667689,2406.679382617701
1417262056,1417262056,S5126,2018-07,16946,430496,29032332.25,67.43926134040734,1713.2262628348874
1922467554,1922467554,T1019,2021-04,12015,230266,29013129.94,125.99832341726525,2414.7424003329174
1417262056,1417262056,T1019,2021-01,22802,462588,28489030.28,61.58618528798845,1249.409274625033
1417262056,1417262056,S5126,2019-10,12220,423783,27747619.97,65.4760100570339,2270.672665302782
1417262056,1417262056,S5126,2024-02,10977,246581,27164990.08,110.16659872415148,2474.718965108864
1417262056,1417262056,S5126,2018-04,16597,408801,26837949.38,65.6504005127189,1617.0361740073506
1417262056,1417262056,S5126,2020-02,12284,388314,26746985.76,68.8797873885567,2177.3840573103225
1417262056,1417262056,T1019,2020-08,20830,448285,26250258.8,58.55707596729759,1260.2140566490639
1538649983,1538649983,S5126,2022-05,9223,259385,25928106.75,99.95993118337606,2811.2443619212836
1417262056,1417262056,S5126,2018-02,16390,382411,25020407.68,65.42805431852118,1526.565447223917
1518098359,1518098359,T1019,2020-07,8489,248598,24822686.3,99.85070797029744,2924.1001649193076
1417262056,1417262056,S5126,2021-02,11605,326143,24702132.03,75.740187678411,2128.576650581646
1538649983,1538649983,S5126,2021-10,8876,247040,24387652.59,98.71944863180052,2747.594929022082
1962650622,1962650622,T1019,2023-01,6097,153933,23862656.06,155.01975573788596,3913.835666721338
1417262056,1417262056,T1019,2020-04,19069,402073,23517056.62,58.48951961459735,1233.2611369238032
1518098359,1518098359,T1019,2020-12,8737,254612,23440996.43,92.0655602642452,2682.95712830491
1417262056,1417262056,T1019,2019-10,18016,436726,23140813.92,52.987030586683645,1284.459031971581
1518098359,1518098359,T1019,2021-06,8583,235732,22358032.65,94.84513197190029,2604.9204998252358
1518098359,1518098359,T1019,2020-09,8584,236998,22110309.15,93.29323095553548,2575.7582886766077
1396051694,1396051694,T1019,2022-10,6547,150519,21748093.16,144.48736146267248,3321.841020314648
1396051694,1396051694,T1019,2023-04,6748,137532,21709753.99,157.8523833725969,3217.2130986959096
1518098359,1518098359,T1019,2019-10,8362,235971,21380053.52,90.60458073237812,2556.810992585506
1922467554,1922467554,T1019,2020-04,8303,161990,21362165.38,131.87335872584725,2572.824928339154
1518098359,1518098359,T1019,2021-02,8676,222132,20859891.2,93.90763690058164,2404.321254034117
1033571658,1033571658,T1019,2023-12,5477,131403,20668371.7,157.28995304521206,3773.6665510315866
1962650622,1962650622,T1019,2021-05,5658,146291,20624112.15,140.98004764476283,3645.1240986214207
1033571658,1033571658,T1019,2023-10,5319,128617,20193495.34,157.0048698072572,3796.4834254559128
1396049987,1396049987,H2015,2023-05,1875,34567,19331851.24,559.2574200827378,10310.320661333333
1962650622,1962650622,T1019,2021-03,5518,136379,19284302.56,141.40228744894742,3494.7993040956867
1396049987,1396049987,H2015,2023-01,1883,34184,19194348.44,561.50094898198,10193.493595326607
1922467554,1922467554,T1019,2019-12,7374,145205,18965121.41,130.60928625047347,2571.890617032818
1376097303,1376097303,T1019,2024-10,4996,114380,18963676.51,165.7953882671796,3795.771919535629
1962650622,1962650622,T1019,2020-07,5465,132652,18942871.49,142.80125056538913,3466.216192131747
1396051694,1396051694,T1019,2022-04,6386,142810,18749654.53,131.29090770954417,2936.0561431255874
1962650622,1962650622,T1019,2020-03,5676,131419,18559470.33,141.2236459720436,3269.815068710359
1962650622,1962650622,T1019,2020-11,5476,131426,18436710.34,140.28206245339584,3366.8207341124908
1922467554,1922467554,T1019,2019-10,7068,141671,18329700.32,129.38216233385802,2593.336208262592
1275657553,1275657553,T1019,2023-05,5515,118591,18145416.23,153.00837525613244,3290.193332728921
1629436241,,T2033,2020-03,2360,76957,18064069.62,234.72938939927494,7654.266788135594
1033571658,1033571658,T1019,2023-06,4890,115956,18059849.11,155.7474310083135,3693.2206768916153
1538649983,1538649983,S5126,2020-07,7959,212137,17791146.29,83.86630474646101,2235.3494521924863
1720151046,1720151046,T1019,2021-03,4432,100175,17518757.95,174.88153681058148,3952.7883461191336
1720151046,1720151046,T1019,2021-06,4343,98745,17474470.39,176.9656224618968,4023.594379461202
1720151046,1720151046,T1019,2021-09,4237,96419,17138550.7,177.75076177931734,4044.9730233655887
1629436241,,T2033,2023-07,1434,52171,16833166.51,322.65370627360033,11738.609839609486
1720151046,1720151046,T1019,2022-07,3949,91014,16787959.58,184.45469466235963,4251.192600658394
1932341898,1932341898,H0044,2023-02,3985,3990,16570654.45,4153.046228070175,4158.257076537014
1932341898,1932341898,H0044,2023-03,3978,3983,16543505.21,4153.528799899574,4158.749424333836
1518096411,1518096411,T2016,2024-10,815,1083,16368985.41,15114.483296398892,20084.644674846626
1871821710,1871821710,T1019,2024-11,4568,88486,16094308.45,181.8853654815451,3523.2724277583184
1376097303,1376097303,T1019,2022-09,4041,97055,16041737.84,165.28502230693937,3969.744578074734
1750504064,1750504064,T2016,2020-05,913,955,16019931.48,16774.797361256544,17546.474786418403
1376554592,1376554592,A0427,2024-01,6537,7375,15966964.16,2165.0120894915253,2442.552265565244
1710176151,1710176151,T1019,2023-02,8977,190984,15918808.35,83.35152866208688,1773.288219895288
1699725143,1699725143,A0100,2023-06,68848,431841,15911059.41,36.844716944430935,231.10416293864745
1083783013,1083783013,T1019,2019-11,4406,102148,15656711.5,153.27477287856834,3553.4978438492963
1376554592,1376554592,A0427,2024-04,6184,6987,15532606.83,2223.072395878059,2511.7410785899096
1932341898,1932341898,H0044,2023-07,3743,3886,15531389.16,3996.754801852805,4149.449414907828
1629436241,,T2033,2022-01,1547,56382,15482810.89,274.6055636550672,10008.281118293471
1720151046,1720151046,T1019,2022-02,4000,85878,15431593.78,179.6920489531661,3857.898445
1265926687,1265926687,T1019,2023-10,5425,105378,15409064.31,146.2265777486762,2840.3805179723504
1992920417,1992920417,T1019,2020-12,7204,189989,15408334.87,81.1011946481112,2138.8582551360355
1629436241,,T2033,2021-12,1548,55122,15173516.92,275.2715235296252,9802.013514211887
1124494059,1124494059,T2023,2020-03,17755,18235,15160181.32,831.3781913901837,853.8541999436778
1700901725,,A0100,2019-05,1580,56288,15126717.25,268.7378704164298,9573.87167721519
1083783013,1083783013,T1019,2019-10,4411,100596,15067326.2,149.78056980396835,3415.8526864656537
1134250475,1134250475,T2016,2022-03,963,1249,14998927.08,12008.748662930344,15575.20984423676
1720151046,1720151046,T1019,2023-02,3566,76053,14989302.45,197.09021932073685,4203.393844643859
1376097303,1376097303,T1019,2022-08,3884,90256,14968327.65,165.8430204086155,3853.8433702368693
1376554592,1376554592,A0427,2021-05,5335,6081,14942111.79,2457.180034533794,2800.77071977507
1083783013,1083783013,T1019,2024-08,2685,70563,14913820.93,211.3546891430353,5554.495690875233
1720151046,1720151046,T1019,2024-02,3127,68325,14660602.95,214.57157628979144,4688.392372881356
1184703415,1184703415,T1019,2020-05,2871,69973,14640435.43,209.22978048675918,5099.420212469523
1184703415,1184703415,T1019,2019-12,3115,70510,14593139.19,206.96552531555807,4684.795887640449
1275657553,1275657553,T1019,2022-09,4954,104579,14549397.13,139.12350596200002,2936.8988958417444
1073055208,,T1040,2020-07,10654,56720,14501448.82,255.66729231311706,1361.1271653838935
1992920417,1992920417,T1019,2019-04,8474,153949,14497032.63,94.16776094680706,1710.766182440406
