BILLING_PROVIDER_NPI_NUM,num_servicing,total_paid
1679525919,4166,40625753.85000002
1053688572,2903,36756416.190000005
1548343510,2574,12724936.009999994
1104981356,2478,13978842.180000005
1063525152,2232,33123770.150000002
1427271378,2186,13660640.879999999
1962461889,2019,18873087.32999998
1205822236,1882,13914584.289999994
1538151428,1773,15197391.490000006
1003803032,1557,16557281.890000002
1811062763,1533,31636855.400000006
1235226531,1529,3846386.819999999
1104802354,1498,23959992.490000017
1760445373,1477,9405226.970000008
1578545273,1449,8669463.379999999
1104202761,1448,18478720.830000006
1669499414,1448,10796637.990000002
1023041159,1437,6522651.689999998
1689606196,1402,2948945.250000003
1861675506,1323,15582212.210000016
1710959457,1322,9966376.559999995
1053353896,1316,12348588.00999999
1356379382,1310,20680756.540000007
1295763217,1303,17267108.40999999
1699720086,1291,7448353.659999999
1619105244,1280,17948286.949999996
1033535497,1241,4119725.7499999977
1801874573,1229,5076690.200000001
1285826438,1228,9774495.419999996
1477554814,1200,10020591.07000001
1588614994,1193,13513100.659999998
1275665457,1187,46846408.169999994
1225060742,1137,3964693.400000001
1033138250,1115,8266356.719999995
1780669200,1107,8786652.690000005
1174680557,1076,17770505.69
1801840434,1071,6618958.6400000015
1295789907,1069,13862989.580000002
1508809427,1057,13196462.339999994
1700828852,1056,32192035.96999998
1134152986,1053,42111401.24
1720220098,1050,7795779.799999997
1609915784,1045,8843524.560000012
1063463768,1045,7909451.839999999
1831218627,1045,11387835.6
1477643690,1040,27664675.43000002
1407897309,1022,61407661.250000015
1376709535,1002,5700920.65
1659769446,998,42763432.49
1225327984,993,10414204.180000002
1366539421,982,9451482.640000006
1043278351,978,5994919.069999993
1255382784,976,7163448.720000001
1316979834,962,1506924.6100000003
1326091448,951,11134211.160000004
1811973100,950,15784083.690000001
1043242555,950,5280162.120000001
1184786527,948,11905754.42
1548205909,947,5662235.439999997
1326093873,939,7496485.629999992
1154317527,922,11689962.680000013
1184046187,907,7757911.520000001
1366425274,903,10222730.31
1043917180,900,3641876.5599999973
1396882205,898,11211130.0
1609824010,894,6361371.090000004
1780621904,890,19189635.6
1922112044,890,16151769.100000009
1023584216,887,4697849.52
1942451216,885,13476910.47
1689624686,883,8053438.039999999
1346403854,876,2691657.089999998
1033157821,862,9504576.42000001
1437292927,853,4538839.0600000005
1275504508,853,4611386.919999998
1376544320,844,9109595.71
1841328853,840,8667671.750000006
1013374222,823,23971726.180000003
1902032832,820,12550622.88999999
1134452865,813,15900627.899999991
1780800128,806,10509869.360000005
1598784555,803,1446464.8100000003
1427016385,789,4995603.289999995
1407888928,787,3577161.4899999984
1265485270,785,4626071.389999997
1720017528,782,10243736.649999997
1649226515,775,4197058.55
1033494943,774,13337532.289999997
1477648731,770,6562566.329999996
1629398219,760,4763094.420000001
1093768723,758,7497642.580000005
1699725143,756,103022116.63000001
1851437719,752,5277544.079999997
1427005008,751,9622757.650000002
1215989249,746,4981085.13
1477569838,743,8217083.069999998
1144513375,743,6994741.92
1205553369,741,3068932.7800000003
1134117393,740,6520057.31
1134151657,738,4571549.130000002
1710924683,736,20875612.290000007
1063452381,735,4228551.120000001
1952591851,730,53269185.02999994
1699769901,729,13811561.699999982
1144211301,727,12169386.83999999
1003882812,726,4112516.419999998
1801929757,726,698722.1500000004
1982637633,726,10672577.52
1639138480,719,19919923.390000008
1275583205,715,5512422.949999996
1447281936,714,1845721.28
1598122871,713,180834.48000000007
1588721500,710,2132217.6200000006
1669617197,706,7703600.45
1669429577,706,5645303.200000001
1417990581,703,6488487.400000006
1861506560,701,26762005.990000002
1720251788,700,9045993.789999994
