HCPCS_CODE,avg_claims_per_bene,median_claims_per_bene,avg_paid_per_bene,total_records
1431Z,41.0772135079077,37.733374384236456,1159.6562640977445,4
1286A,37.18944728188293,32.38668519328667,136.9955462313535,10
1286Z,31.89223480414996,31.502572016460906,132.84935819277564,5
Z5834,31.799808643753224,20.65,12738.342782819633,21
X5635,30.97310606060606,30.779545454545456,6476.559683982684,4
1286C,30.533051351516512,30.159779614325068,136.2066522191277,7
S9326,30.48716743210932,30.337365591397848,1333.4623421079039,8
1434Z,29.855536277406767,30.714285714285715,128.94752959688975,15
W00R2,29.273588532679444,30.0,0.0,11
W0038,29.251215161649945,29.195512820512818,8698.331197630992,8
W00R4,28.973684210526315,28.973684210526315,0.0,2
W9047,28.93555158654414,29.423076923076923,10209.58555237618,13
M0149,28.024372263273126,28.57857142857143,4134.715883723317,8
0593T,27.9,27.9,2773.048,1
M0151,27.501664421334016,29.916666666666664,5594.550879378761,14
T2012,27.49610090826232,25.571428571428573,4854.507018476484,383
90019,27.016949152542374,27.016949152542374,0.0,1
T2027,26.84667669387721,21.36398872445384,1793.8580469399624,294
M0152,26.649277670978634,28.923076923076923,4406.093217722577,48
M0123,25.97606659866811,28.738636363636363,1972.9683179654469,280
1536P,25.666666666666668,25.666666666666668,5301.45,1
M0122,25.54633442111646,28.96666666666667,1853.0007576985113,164
M0150,25.47654485100703,26.857456140350877,3703.979368856531,82
M0124,25.389315960154786,27.847826086956523,3025.8986761312476,18
90947,25.189653085010228,29.299242424242422,1450.0785393927501,14
M0167,24.589070463536054,27.266666666666666,3909.298128392121,49
W1793,24.479491745619264,26.007462686567166,4263.327621287435,950
W1759,24.374887512890215,25.0625,303.6084347460341,11
90945,24.263354950774325,27.455555555555556,1603.1641336851303,416
S0109,23.781344622275846,26.4,145.9242587316572,593
1438Z,23.775265128599973,1.5527690700104493,1913.4291381687797,6
X0241,23.462273864416478,23.794117647058826,2644.52226861373,20
M0125,23.440954957577354,26.994505494505496,2205.0906328593014,68
M0166,23.29144278949711,24.4,3420.542925952527,15
M0119,23.0,23.0,3641.7250000000004,2
W9045,22.591852360816286,26.92572463768116,14583.052836805342,12
99509,22.16526220741519,26.166666666666668,1368.489042640017,8223
1439Z,21.88854395738259,29.27777777777778,312.37810813917633,15
1023Z,21.869389861346384,25.404761904761905,5459.277081589184,10
1437Z,21.60892857142857,14.771428571428572,1645.2554181547619,4
T1000,21.49624959403922,22.521164021164022,8984.69050468896,2256
M0118,20.74940831489671,19.75438596491228,763.5995333233617,118
M0117,20.543699113908723,19.641025641025642,965.9222902427535,46
Z5868,20.32308484620533,14.268292682926829,4953.159942222066,25
M0354,20.152941940950527,16.63888888888889,1847.649122044728,43
T2013,20.14416516343952,21.294117647058822,3508.8089199782726,1111
W0055,20.023601746582838,20.185185185185187,2064.593296535539,11
S5140,19.928928045174676,28.35,4375.293351231261,1785
YM851,19.75,19.75,0.0,1
G0156,19.46732266755835,17.22048611111111,876.1351812483338,5196
