BILLING_PROVIDER_NPI_NUM,num_servicing,total_paid
1679525919,1819,4110830.589999999
1053688572,1142,3683106.4500000007
1063525152,1025,3417915.389999999
1548343510,918,1366471.1099999999
1427271378,869,1362205.7600000002
1538151428,799,1442595.2599999998
1205822236,764,1327360.09
1053353896,710,1274135.96
1578545273,699,883447.4299999998
1962461889,691,1976332.4900000005
1669499414,667,1073756.5999999999
1356379382,645,2032830.9200000002
1811062763,640,3221637.0300000003
1104802354,627,2339066.14
1588614994,620,1454000.0899999999
1619105244,620,1620111.5399999993
1003803032,615,1773585.86
1700828852,595,3396658.6999999997
1407897309,590,7612542.609999999
1104981356,578,1325566.15
1760445373,570,1023187.7299999999
1689606196,561,288345.04000000004
1295763217,557,1769036.0200000003
1720220098,545,716135.5899999999
1013374222,522,2363777.79
1275665457,517,6830733.59
1134152986,513,3746380.3899999983
1639138480,512,1962621.3500000006
1861675506,512,1605645.36
1104202761,512,1708134.3100000003
1689624686,501,865012.1000000001
1710959457,495,1019626.8900000002
1225327984,463,1000061.72
1699703827,461,70230078.79000017
1134452865,450,1678369.2799999998
1023041159,449,647151.2000000001
1508809427,448,1337735.38
1295789907,439,1265017.0100000002
1952591851,436,5255089.369999994
1811973100,429,1737542.3599999999
1801840434,429,648583.8899999999
1366425274,429,980412.9099999998
1699720086,429,719545.3400000001
1922112044,428,1640229.21
1144513375,427,686952.6299999999
1609915784,422,824269.62
1831218627,422,1154877.79
1841328853,421,885269.82
1861506560,420,2486413.610000001
1477554814,418,1039008.2500000001
1366539421,416,896530.62
1154317527,415,1360035.1099999994
1033138250,415,785468.8000000002
1801874573,411,557311.7700000001
1285826438,409,998153.1599999998
1043242555,402,550602.9899999999
1033494943,401,1409716.2400000007
1235226531,393,319068.33999999997
1326091448,392,959795.9299999998
1659769446,385,4094267.5699999975
1063463768,385,751420.2999999999
1033535497,383,435498.56
1396882205,383,1002259.0100000001
1043278351,381,622621.3899999999
1255382784,381,703107.97
1477643690,371,2835835.5099999993
1225060742,369,408409.69
1205887023,369,273220.56
1447281936,368,157784.07
1316979834,368,122890.40999999999
1750343216,366,992540.6999999998
1780800128,361,1069178.65
1427005008,356,956892.2600000001
1669617197,355,730373.7100000001
1376544320,350,843106.1899999998
1902032832,347,1274021.1000000006
1780669200,346,912714.9600000002
1548205909,343,541845.0900000001
1629398219,342,440851.1500000001
1720017528,337,877945.1
1326093873,333,709664.6400000001
1336578772,332,628632.49
1477648731,330,670158.3899999999
1003882812,327,416939.7800000001
1669825162,326,977861.21
1427536325,325,1058249.75
1598122871,322,17677.2
1023584216,320,408897.16
1013042480,315,792350.4099999998
1326695255,314,1020736.9
1174680557,314,1957275.9500000002
1780621904,312,1908506.31
1285016758,310,1565258.4100000001
1336137629,309,555647.0300000001
1265485270,308,450689.1000000002
1033157821,302,964023.4300000005
1609824010,302,653946.89
1376709535,299,596069.6200000002
1588721500,297,218545.51
1942644661,297,794572.7999999999
1568407310,297,1433588.0000000002
1609000769,296,461548.5199999999
1366436123,295,1886835.0899999996
1245430438,295,3819263.75
1932363934,294,500442.14
1619969458,294,2149827.05
1699769901,294,1518628.9800000002
1578665048,293,2107384.7600000002
1477569838,291,973032.2400000002
1437194669,291,218034.39000000004
1649226515,286,439833.8999999999
1669429577,286,619220.9199999998
1407888928,285,357963.68
1194099390,285,786008.8300000001
1851437719,285,574861.83
1144211301,283,1438704.3699999999
1982643003,283,1033999.7100000001
1184786527,282,1169912.73
1477531580,281,511137.73000000004
1548212988,281,1564783.83
1740213446,280,611854.9900000001
1518360296,280,488799.38999999996
1093768723,276,870744.9199999996
1730123472,275,760443.6799999999
1558365890,273,973348.8399999999
1275504508,273,491399.0199999999
1649228966,272,654867.8899999999
1336245828,271,1298725.38
1437292927,271,478628.8700000001
1477582526,271,673424.0699999998
1134117393,271,616303.8300000001
1538107875,270,172782.22
1942241146,269,981679.1799999999
1427016385,265,463425.26
1184046187,262,662860.2699999998
1932130952,260,845507.9500000002
1063452381,258,402764.05000000005
1366515488,256,2035988.79
1417990581,255,676986.4300000002
1710924683,253,2123595.7600000002
1326336058,251,595069.1200000001
1972970671,251,23178.710000000003
1366479099,250,1116431.5799999998
1952681918,250,390127.26
1548226988,250,1214431.5999999999
1720194053,249,820377.8600000001
1144266024,248,678976.9699999997
1699725143,247,7714705.5699999975
1730491945,247,812535.41
1861430555,247,766360.18
1194743013,243,2731025.0499999993
1437125572,241,398423.20999999996
1164483558,240,864933.2300000002
1659309615,240,159524.41
1134151657,239,481534.38999999996
1952364747,239,1330856.7299999995
1346403854,239,242383.34000000008
1902921380,238,2766687.08
1457389033,232,568980.8200000002
1598784555,232,156264.82999999996
1700154226,232,855429.3899999998
1528642642,232,1212970.1800000004
1275988321,232,709392.85
1275583205,228,569772.6900000001
1235468083,228,399464.38
1770515280,228,277315.74000000005
1962440933,227,462478.05999999994
1093779704,227,398651.13999999996
1013953983,227,686118.43
1508266347,226,973235.0900000002
1326093675,226,346855.5100000001
1710020623,226,384050.87
1225034234,225,675799.8999999998
1609881077,224,436844.16000000003
1568403111,224,760915.0599999999
1548287907,224,369383.12
1154636066,223,240933.23
1801270137,223,2594504.850000001
1245277631,222,505472.79
1407848443,221,373338.1300000001
1205553369,220,330897.6099999999
1548210198,220,278039.98
1467595793,219,2193232.870000001
1043917180,217,371499.39999999997
1225071459,217,575347.51
1215989249,216,448455.47999999986
