SERVICING_PROVIDER_NPI_NUM,num_billing,total_paid
A565813600,1219,21256747.740000013
A304140100,1058,12009520.130000003
A585713900,666,9723091.590000007
A065813800,596,1523011.8800000001
A779118000,488,4013910.1100000013
A302139400,359,5788387.759999998
A579105700,284,212129.68000000002
A337499500,231,2637442.990000001
A875718600,199,790045.4100000003
A373623700,108,1214230.5899999994
M859323000,92,1219107.0600000003
A397151100,90,5369739.689999998
A649976700,71,2235349.7200000007
A035225000,71,297375.73000000004
A268453200,61,3334199.0800000015
1366491474,61,927798.2299999999
A360524800,56,320198.99
A108432300,54,497832.75
1821182338,54,594352.4499999997
A962823100,53,279948.18000000005
A599428400,49,248204.84000000005
1124187018,47,429607.88
A542460700,35,0.0
A837226800,33,281408.2
1811997711,32,203570.29999999996
1780620526,32,587541.0499999999
1962583617,29,392442.8199999999
A334726500,29,133055.50999999998
A130715100,28,76744.76
1659352276,27,361581.7300000001
1366479099,25,61746.37000000002
A518673500,23,543333.4899999998
1407967821,22,581750.2400000001
A677480100,22,454739.6299999999
A057147000,22,193287.3
A168407400,22,49993.25999999998
1376548271,21,37922.17999999999
1598085888,21,191991.41000000006
1619076122,21,897419.0500000002
A226985600,20,287811.37999999983
M766105300,20,273454.2500000001
1982732137,20,58049.81999999999
1952628422,20,194939.36999999997
1699814533,20,296369.92
A166410000,19,304743.07999999996
1235283623,19,24691.629999999994
1083160915,19,133391.55000000005
A118108000,18,84149.95999999999
A550065600,18,348703.6999999999
1447296272,17,232913.38999999996
1336146711,17,150715.61
A962615100,16,229619.16
1205098225,15,166416.40999999997
1801929757,15,6566.200000000001
1376609297,15,456426.81000000006
1962454652,15,237614.66
1386842300,15,144436.53
1568553022,15,40843.099999999984
1972819282,15,111301.36
1124130653,15,344002.25999999995
1538144910,15,66126.26
1265435606,14,36844.32
1245290048,14,30913.93
1225170186,14,40591.08000000001
1003957895,14,303727.03999999986
1316982309,14,308450.14999999997
1164774675,14,270546.45
A423525800,14,7858271.13
1891785267,14,102211.73999999999
1063672814,14,307850.7200000001
1336101229,14,29005.22
1700159050,14,84448.09999999999
1619119328,13,129693.53000000003
M961997600,13,544937.5000000001
1447614599,13,36641.439999999995
1558312579,13,25642.989999999998
1548713209,13,25785.57
1295992725,13,7851.319999999999
1023107281,13,48168.99
1962523555,13,1163.07
1639346174,13,23115.490000000005
1679845325,13,46898.579999999994
1073694378,13,184047.63999999998
1225019557,12,86337.13
1326593757,12,40075.869999999995
1508885856,12,47439.8
1356551220,12,55320.92999999999
1518052547,12,54793.66000000002
1093833089,12,12474.710000000003
1477711521,12,23533.799999999996
1790833663,12,120090.23999999996
1801139621,12,19941.559999999998
1497730758,12,52726.80000000001
1999999984,12,275002.92000000004
1861519415,12,217743.35999999996
1407116007,12,58437.44
1538346382,12,19729.899999999998
1912165788,11,14703.85
1407068059,11,103929.99999999997
1871799478,11,47333.32
1447411590,11,17705.929999999997
1336290691,11,107644.55000000002
A418460100,11,156324.66
1033572177,11,49845.12
1063571313,11,108717.79999999999
1497828776,11,14587.949999999999
1912249004,11,25270.359999999997
1578539557,11,3012.88
1942410501,11,31252.049999999996
1689094989,11,257819.60000000003
1427373315,11,126763.45
1821161860,11,24633.340000000007
1356360655,11,29632.73
1467421917,11,27892.649999999998
1164405445,11,85639.67000000001
1740225911,11,25367.900000000005
1467544734,11,17820.529999999995
1649358383,11,362345.8
1023165255,11,14122.310000000001
1679804645,11,42227.340000000004
1700814621,11,76949.83000000002
1225097215,11,12246.6
1376591685,11,196459.3600000001
1285144980,11,19608.5
1679526040,11,61044.39000000001
1043698111,11,42241.9
1720100571,11,86850.43
1427469782,11,132986.31000000003
1336103241,11,257260.72
1003929340,11,54792.65000000001
1811159650,11,39621.17999999999
1295164903,11,93785.15000000002
1245365147,10,128391.49999999999
1891120432,10,24685.95
1407836356,10,19236.069999999996
1467524439,10,52162.44999999999
1104829159,10,24732.569999999996
1184629859,10,46704.399999999994
1548245145,10,11776.399999999998
1114923307,10,48219.18
1699946376,10,11227.400000000001
1790941177,10,14838.109999999997
1104207455,10,19974.02
1801017074,10,10678.669999999998
1255641130,10,27377.239999999994
1205814654,10,89559.84000000001
1689771081,10,27086.23
1053668434,10,381409.05
1952359697,10,8027.719999999999
1093707457,10,37503.56999999999
1255402160,10,79464.13
1902977994,10,36515.37000000001
1003042987,10,142321.95999999996
1609361492,10,43099.259999999995
1538332143,10,114420.73
1376791343,10,12291.45
1245316645,10,36279.149999999994
1124356829,10,248632.04000000004
1841685153,10,55230.85
1255688065,10,38994.58999999999
1821023862,10,14329.32
1053589804,10,52000.49
1992912950,10,80552.07999999999
1164471546,10,11034.960000000001
1982665568,10,91702.06999999999
1275706111,10,9991.899999999998
1669635249,10,10005.06
1447547385,10,19730.44
1093001620,10,13081.340000000002
1306103783,10,9352.36
1891873303,10,6267.119999999999
1639429608,10,3670.3399999999992
