code_a,code_b,shared_providers,combined_paid
99213,99214,18867,445359155.0199999
99212,99213,6045,165028981.04999992
D0120,D1120,5475,49407119.40999997
99203,99213,5212,133790016.74999997
D0120,D1110,5138,33332303.879999965
D0120,D0220,4992,26868334.80000001
36415,99213,4695,109049908.51000006
99283,99284,4675,291166961.4700002
99213,99392,4533,142475487.1900001
99212,99214,4499,121602568.42999992
D0120,D0274,4454,25895930.519999996
D0120,D0230,4415,26264293.12
D0120,D0150,4211,29881917.469999995
36415,99214,4116,83229731.66000007
99213,99391,4112,140953210.38999987
90471,99213,4078,115097749.25000006
D0220,D1120,4076,25695364.69999999
D0220,D0230,4048,10297823.909999993
D0220,D1110,4019,17410489.69
99204,99214,3968,126415359.4899999
99203,99214,3955,120537049.3700001
99213,99393,3954,127227055.19000009
99284,99285,3944,272420426.7699999
D1110,D1120,3861,28979047.78
D0120,D1208,3820,23276705.840000004
90686,99213,3783,107093730.62999992
D0220,D0274,3780,10059565.470000003
99214,99392,3775,103476513.07000008
99283,99285,3704,226947131.57999986
99204,99213,3685,107273061.80999997
D0120,D0272,3685,25659001.81999998
87880,99213,3646,105541407.38000001
D0230,D1120,3608,24995109.80000001
D0274,D1120,3600,23586988.170000013
D0274,D1110,3592,17463569.250000026
D0150,D0220,3569,12680811.440000003
D0150,D1120,3535,28341679.999999996
99214,99391,3494,101429431.7099999
90471,99214,3474,87741279.39000002
D0272,D1120,3436,26369377.850000005
D0120,D1206,3415,26223322.240000017
90460,99213,3402,95812885.57000001
D0150,D1110,3373,19167375.069999993
D1120,D1208,3345,22621516.770000003
D0230,D0274,3324,10106302.969999991
D0230,D1110,3298,14874922.659999983
99391,99392,3293,38985782.959999986
99213,T1015,3271,392160928.54
90686,99214,3268,75907080.8199999
99214,99393,3252,89097154.78000002
