BILLING_PROVIDER_NPI_NUM,HCPCS_CODE,total_paid,total_claims,total_bene,active_months,claims_per_bene,paid_per_bene,claims_per_month,peer_median_cpb,peer_p95_cpb,peer_p99_cpb,ratio_to_p95,flag_phantom
1992165864,97110,4780.0,4195.0,19.0,1,220.78947368421052,251.57894736842104,4195.0,3.25,9.841687344913149,17.311228070175442,22.434107683610726,True
1972954923,T2003,5395.28,2208.0,14.0,1,157.71428571428572,385.3771428571428,2208.0,7.963414634146342,27.70338461538461,35.33999999999995,5.692960910873747,True
1720171895,99212,5089.51,4895.0,33.0,1,148.33333333333334,154.22757575757578,4895.0,1.0833333333333333,1.7532936057320296,2.477465772179617,84.60267741146622,True
1407430143,99509,44964.5,1887.0,13.0,1,145.15384615384616,3458.8076923076924,1887.0,26.476838235294117,34.84138655462185,52.71249999999992,4.16613288125845,True
1013935113,99509,18759.0,1966.0,14.0,1,140.42857142857142,1339.9285714285713,1966.0,26.476838235294117,34.84138655462185,52.71249999999992,4.030510416352618,True
1881061695,T1021,151575.0,59038.0,464.0,13,127.23706896551724,326.67025862068965,4541.384615384615,11.6875,27.032811059907825,39.844000000000015,4.706764260792014,True
1992836811,S5125,44646.7,1702.0,14.0,1,121.57142857142857,3189.0499999999997,1702.0,19.6046511627907,32.14395209580838,43.542564102564086,3.782093384443591,True
1023440351,S5150,2367.25,1393.0,12.0,1,116.08333333333333,197.27083333333334,1393.0,7.792857142857143,21.24047619047619,27.243757522123946,5.465194484923215,True
1194035980,S5100,0.0,1389.0,12.0,1,115.75,0.0,1389.0,12.575757575757576,21.48111111111111,35.64108597285073,5.388454973361609,True
1770784373,H2017,18209.45,3065.0,28.0,1,109.46428571428571,650.3375,3065.0,4.79047619047619,17.0,25.481038961038948,6.4390756302521,True
1639487069,T1019,234937.92,5706.0,56.0,1,101.89285714285714,4195.320000000001,5706.0,18.555555555555557,32.035982905982905,43.91319047619049,3.1805753374849024,True
1588878169,H2017,11673.05,2184.0,22.0,1,99.27272727272727,530.5931818181817,2184.0,4.79047619047619,17.0,25.481038961038948,5.839572192513368,True
1376633297,H2015,119555.53,2748.0,28.0,1,98.14285714285714,4269.840357142857,2748.0,3.5,24.064802314368364,50.05576923076937,4.078273981260133,True
1750459772,H2015,716326.74,7901.0,83.0,2,95.19277108433735,8630.44265060241,3950.5,3.5,24.064802314368364,50.05576923076937,3.9556847316173727,True
1265053854,H0020,13570.65,2544.0,27.0,1,94.22222222222223,502.6166666666667,2544.0,6.996835443037975,28.841287878787877,36.093622075243594,3.2669214571212186,True
1659630739,H2013,424183.85,2291.0,25.0,1,91.64,16967.354,2291.0,6.76705908000872,34.033928571428554,78.67029999999997,2.692607167217589,True
1326585662,99000,0.0,7796.0,86.0,1,90.65116279069767,0.0,7796.0,1.0576923076923077,1.466124031007752,1.9502696078431407,61.830486966636705,True
