BILLING_PROVIDER_NPI_NUM,SERVICING_PROVIDER_NPI_NUM,shared_codes,shared_months,relationship_paid,relationship_claims,billing_total,concentration_pct,flag_concentrated,flag_broad,flag_any
1184779332,1922178789,227,82,4212883.709999999,38178.0,4341550.1899999995,97.03639312298263,True,True,True
1992781470,1760454839,12,12,3275361.0599999996,29202.0,3596323.9099999997,91.0752518952054,True,True,True
1477628758,A423525800,3,3,1742244.41,7811.0,1742244.41,100.0,True,False,True
1003991506,1104228337,40,39,1666097.3800000001,12389.0,1961400.1600000001,84.94428694244625,False,True,True
1558416701,1689744450,155,74,1552885.539999999,15147.0,1657775.619999999,93.67284216666187,True,True,True
1528126133,1891853446,30,31,1541312.5599999998,8138.0,3122630.2299999995,49.359432480739166,False,True,True
1083765689,1518095413,16,21,1507438.9199999997,38035.0,5037397.779999999,29.924953037955245,False,True,True
1881946564,A397151100,4,7,1394548.7000000002,11134.0,1394548.7000000002,100.0,True,False,True
1487602736,1790249837,18,18,1381434.31,8529.0,2707736.04,51.0180567674536,False,True,True
1295968162,1407106719,20,22,1367050.8800000001,6684.0,2071561.9100000001,65.99131184063913,False,True,True
1669878567,1740387018,55,46,1360613.19,19736.0,3529204.13,38.55297511510052,False,True,True
1356453484,1790385482,3,4,1346016.21,5581.0,1346016.21,100.0,True,False,True
1982747192,1518092618,16,24,1332558.3499999999,63764.0,1383001.14,96.3526573810344,True,True,True
1699703827,1427136621,8,8,1291874.7600000002,5589.0,70230078.79,1.839489264796253,False,True,True
1710924683,A585713900,163,54,1189471.9300000004,37944.0,2123595.7600000002,56.012163539072056,False,True,True
1407897309,1083903447,7,10,1170853.4000000001,1055.0,7612542.61,15.380582546256512,False,True,True
1811062763,1780864579,116,70,1160488.1399999994,71764.0,3221637.0299999993,36.02169112142344,False,True,True
1902809940,1063497451,180,79,1153441.2700000003,107094.0,1191872.4400000002,96.77556349906035,True,True,True
1669878567,1558308825,58,47,1150726.3,14002.0,3529204.13,32.60583002887963,False,True,True
1366807760,1861598450,3,5,1136111.64,3314.0,1136111.64,100.0,True,False,True
1275665457,1023113453,9,7,1122904.99,44280.0,6830733.59,16.439010176650733,False,True,True
1417011263,A423525800,4,4,1114879.6099999999,5161.0,1114879.6099999999,100.0,True,False,True
1598135451,1871517912,16,16,1077461.8500000003,20746.0,1077461.8500000003,100.0,True,True,True
1356444814,1154377166,115,75,1044704.8600000002,19761.0,1044704.8600000002,100.0,True,True,True
1689629990,1164512430,10,10,1002592.61,13430.0,1053036.6,95.20966412753364,True,True,True
1972678266,A423525800,4,5,985090.26,4517.0,985090.26,100.0,True,False,True
1316012263,A423525800,3,4,969243.86,3522.0,969243.86,100.0,True,False,True
1487602736,1750672929,30,29,965806.74,4900.0,2707736.04,35.66842283489346,False,True,True
1043385420,A423525800,1,1,959961.43,4263.0,959961.43,100.0,True,False,True
1083765689,1073610499,17,21,944407.76,15032.0,5037397.779999999,18.747929015047927,False,True,True
1699703827,1467597310,8,10,929574.0100000001,4419.0,70230078.79,1.32361236953697,False,True,True
1295822658,1497799092,13,14,924985.61,7388.0,1643248.98,56.29004619859859,False,True,True
1194179150,1245220912,8,12,912861.9999999999,3865.0,970145.4399999998,94.09537605000752,True,True,True
1841335650,1902954357,6,8,864771.6199999999,13659.0,867352.2799999999,99.70246691459667,True,False,True
1780958025,1124374137,4,5,838628.1099999999,7467.0,838628.1099999999,100.0,True,False,True
1972545945,1790883528,12,16,816851.3700000001,8709.0,2111313.9800000004,38.68924175834804,False,True,True
1619053378,M968128100,1,2,804130.65,21284.0,804130.65,100.0,True,False,True
1740648856,1922019322,9,11,800556.3700000001,1112.0,803727.2900000002,99.6054731450017,True,True,True
1407897309,A565813600,95,51,795520.6300000001,23608.0,7612542.61,10.450130406560708,False,True,True
