CLAIM_FROM_MONTH,total_paid,total_claims,providers,paid_3m_avg,paid_6m_avg,paid_12m_avg,cumulative_paid,paid_std_6m,cv_6m
2018-01-01,915678792.7700036,18801485.0,82061,,,,915678792.7700036,,
2018-02-01,869453389.9600013,17633471.0,78716,898527898.2333355,,,1785132182.7300048,,
2018-03-01,910451511.9700016,18556947.0,81633,891367071.2333341,,,2695583694.7000065,,
2018-04-01,894196311.7699991,17718661.0,80698,906493436.7099997,894254657.9583346,,3589780006.4700055,23964087.36046938,0.02679783342161347
2018-05-01,914832486.3899983,17921632.0,80442,889981417.6833338,892118178.7766671,,4504612492.860003,22176821.673934978,0.02485861425259301
2018-06-01,860915454.8900038,16432312.0,75976,892869286.32,905061627.7583332,,5365527947.750008,28159249.959018763,0.031113074618757078
2018-07-01,902859917.6799979,17409679.0,76396,903629818.806667,894447797.2283331,903488559.2566673,6268387865.430006,36490631.4981577,0.0407968263896819
2018-08-01,947114083.8499992,18593291.0,81771,898914176.7733327,908891295.9649996,915308309.6383337,7215501949.280005,50739890.91347605,0.055826137997728155
2018-09-01,846768528.790001,16366280.0,75674,924913305.6099991,902541550.0300001,922180206.9691666,8062270478.070006,52210267.67931035,0.0578480488544543
2018-10-01,980857304.1899967,19722524.0,83383,901453281.253333,912722460.5550002,932023839.1208334,9043127782.260002,48277509.935295165,0.052893965056956094
2018-11-01,876734010.7800013,17025895.0,76726,926530744.3366674,938498440.5000004,944606695.4399999,9919861793.040003,75544720.00514816,0.08049530691271098
2018-12-01,922000918.0400044,16727177.0,73557,952083575.3900017,939298786.18,957246003.7458334,10841862711.080008,75679569.38927846,0.0805702833888
2019-01-01,1057515797.3499994,20045436.0,83040,977144291.106667,969599881.0133338,966017870.318333,11899378508.430008,67136367.65296136,0.06924131176954848
2019-02-01,951916157.9299971,18836965.0,80215,1012669017.6899999,980322094.9150001,974910018.3241663,12851294666.360004,74072787.7538598,0.07555964324182897
2019-03-01,1028575097.7900034,20231357.0,83244,1008560614.4399987,1011950457.4616667,981941887.623333,13879869764.150007,60214003.65896146,0.0595029165854618
2019-04-01,1045190587.5999957,20105167.0,84353,1046756623.8166666,1019313280.0816656,997005656.6374997,14925060351.750004,48595423.34225826,0.04767466910503204
2019-05-01,1066504186.0600005,20410127.0,82898,1025957542.4733316,1011321596.1483322,1023430647.6216668,15991564537.810005,44855226.87531666,0.04435307922440298
2019-06-01,966177853.7599986,17539100.0,78057,1014082577.856666,1024584989.066666,1041638806.4699997,16957742391.570004,34300065.94295959,0.03347703344180832
2019-07-01,1009565693.7499988,19021811.0,81170,1002413354.3166653,1024411432.2616655,1057234561.4033333,17967308085.320004,34278465.9841546,0.033461619916204575
