code_a,code_b,shared_providers,combined_paid
99213,99214,68842,5708242843.660014
D0120,D1110,26323,547675064.6600002
D0120,D1120,25438,710220716.6299986
99212,99213,24578,2590248654.939999
D0120,D0220,23957,417669165.1100001
99203,99213,22796,2116323437.58
D0120,D0274,22131,416665600.54999995
D0120,D0150,21916,491436958.3100002
D0220,D1110,20970,291204476.27999973
D0120,D0230,20381,404947371.5599999
D0274,D1110,20058,302879267.23999995
D1110,D1120,20017,488811659.4600006
D0220,D0230,20002,163312359.26000008
D0220,D1120,19830,400102714.46000016
D0150,D1110,19822,351813513.27000004
D0150,D0220,19484,216498927.55000052
D0220,D0274,19288,165585780.18000025
99212,99214,19105,1970322738.730001
99204,99214,19086,1973842283.829998
D0150,D1120,19068,474341955.6499991
D0120,D1208,18990,369844925.2200004
D0274,D1120,18343,391227672.23000044
D0150,D0274,17878,230735577.94000033
99204,99213,17470,1715712558.6600032
99203,99214,17447,1813351086.9599986
D0230,D1110,17419,265886643.03000027
D0120,D0272,17309,396506029.34000134
D0230,D1120,17286,385329927.7700009
D0150,D0230,16910,228982400.9099996
D1120,D1208,16901,355189976.3700001
36415,99213,16892,1566748991.5999987
D0230,D0274,16721,167900419.51999974
D0272,D1120,16584,401794068.12999964
D0120,D1206,15994,386326422.9200011
D1110,D1208,15945,255415702.13000023
90686,99213,15711,1761227226.24
36415,99214,15580,1293278769.439998
90471,99213,15561,1771934760.469998
D0120,D2392,15435,567414850.2499987
D0220,D1208,15083,151582873.0999996
D1120,D1206,14794,392493120.7800002
D0220,D0272,14422,137933777.89999992
D0150,D1208,14245,208343064.5
D0220,D2392,14194,336414613.53000027
87880,99213,14155,1686967017.0700023
D0272,D1110,14154,239959743.53000036
D1120,D2392,14131,560892736.4200004
D0150,D2392,13990,396885958.40000063
D1110,D2392,13953,436395870.2700005
90686,99214,13906,1299023186.3299987
