CLAIM_FROM_MONTH,1184703415,1376609297,1417262056,1538649983,1629436241,1699703827,1699725143,1710176151,1922467554,1982757688,market_total,share_1376609297,share_1417262056,share_1699703827,share_1699725143,share_1710176151,share_1629436241,share_1982757688,share_1922467554,share_1184703415,share_1538649983,top10_combined
2018-01-01,0.0,0.0,206953.05,0.0,1060077.19,7245706.5600000005,1311254.1,311388.01,5695816.02,1432153.7699999998,915678792.7699997,0.0,0.02260105308040944,0.7912934772772419,0.14320022592566048,0.03400624896619338,0.11576954696015006,0.15640350975778558,0.6220320995716973,0.0,0.0,1.8853061615391378
2018-02-01,5215241.18,0.0,25309868.12,0.0,1104506.9500000002,7922962.57,3161116.6000000006,277778.43,0.0,1785757.2500000005,869453389.9599981,0.0,2.911009194082786,0.911257884722782,0.36357516532834927,0.0319486280929654,0.1270346361005984,0.20538849702824896,0.0,0.599829874749231,0.0,5.1500438801049615
2018-03-01,238689.87,0.0,600317.3,0.0,686913.16,5526260.3900000015,2784325.4000000004,3788391.2,6260503.13,1475928.79,910451511.9699975,0.0,0.06593621869011543,0.6069801979945649,0.30581808733288735,0.4161002700520355,0.07544752806370605,0.16210954351719908,0.6876261994945542,0.026216648208264564,0.0,2.3462346933533276
2018-04-01,0.0,0.0,28802601.24,0.0,2923498.190000001,7993559.32,3966425.79,576889.8099999999,131789.36,2599243.1999999997,894196311.769999,0.0,3.2210601699963695,0.893937854001803,0.44357438492994206,0.06451489481745759,0.32694142790783165,0.2906792575396536,0.014738302793838656,0.0,0.0,5.255446291986895
2018-05-01,7356717.98,0.0,1532063.71,0.0,951003.53,7514753.309999999,1015341.4400000002,1043766.49,7832458.2299999995,3232775.91,914832486.3900008,0.0,0.1674693162729322,0.8214348989347537,0.1109865964649567,0.11409372814456804,0.10395384337002864,0.3533735364773481,0.8561631059810174,0.8041601155890489,0.0,3.331635141234654
2018-06-01,0.0,175705.87,0.0,0.0,2253189.7199999997,7314925.91,1382126.98,0.0,0.0,2502994.65,860915454.890003,0.020409189892223446,0.0,0.8496683232309507,0.16054154587997158,0.0,0.2617202080880154,0.29073640573914444,0.0,0.0,0.0,1.5830756728303055
2018-07-01,7624444.67,0.0,29397638.310000002,0.0,1055119.48,5102354.280000001,1757501.79,410832.35000000003,0.0,1812671.51,902859917.6799989,0.0,3.2560575272341885,0.5651324397156848,0.1946594101237876,0.04550344322025951,0.11686414019920713,0.200769961596907,0.0,0.8444770357722687,0.0,5.223463957862303
2018-08-01,0.0,243850.77,4867921.109999999,0.0,957911.3099999998,9242806.540000001,1372526.81,5658820.2,0.0,3536948.13,947114083.8499964,0.025746715644724902,0.5139741022762553,0.9758915739514937,0.1449167353124674,0.5974803137756151,0.10114001326071648,0.37344478245137996,0.0,0.0,0.0,2.7325942366726528
2018-09-01,0.0,0.0,2002665.6300000001,0.0,919416.4900000001,5358563.739999999,2085354.8800000006,1067601.24,0.0,2080593.4,846768528.7899995,0.0,0.2365068565859119,0.632825094203393,0.24627212858039194,0.12607946607623244,0.10857943567102238,0.24570981670434658,0.0,0.0,0.0,1.5959727978212983
2018-10-01,11681742.32,0.0,191545.19999999998,0.0,635665.07,8081750.260000001,1713415.28,1169201.4500000002,0.0,1801051.7,980857304.1899968,0.0,0.019528345171286682,0.8239476043535204,0.17468547898666648,0.1192019924820298,0.06480708939869081,0.18362015476729604,0.0,1.1909726593356937,0.0,2.5767633244951837
