HCPCS_CODE,first_seen,last_seen,months_active,total_paid,provider_count,first_dt,last_dt,first_quarter,last_quarter
90837,2018-01,2024-12,84,1215992794.4700036,29798,2018-01-01,2024-12-01,2018Q1,2024Q4
T4524,2018-01,2024-12,84,29553991.83,658,2018-01-01,2024-12-01,2018Q1,2024Q4
90846,2018-01,2024-12,84,29104689.599999998,1370,2018-01-01,2024-12-01,2018Q1,2024Q4
H2023,2018-01,2024-12,84,56055707.57000001,451,2018-01-01,2024-12-01,2018Q1,2024Q4
97530,2018-01,2024-12,84,618456369.5299996,15395,2018-01-01,2024-12-01,2018Q1,2024Q4
S5130,2018-01,2024-12,84,498288192.90000033,2477,2018-01-01,2024-12-01,2018Q1,2024Q4
D2929,2018-01,2024-11,72,1946958.1400000001,72,2018-01-01,2024-11-01,2018Q1,2024Q4
H2017,2018-01,2024-12,84,870883649.6300007,3254,2018-01-01,2024-12-01,2018Q1,2024Q4
D8660,2018-01,2024-12,83,10573157.959999997,1128,2018-01-01,2024-12-01,2018Q1,2024Q4
97161,2018-01,2024-12,84,23211221.40999999,3040,2018-01-01,2024-12-01,2018Q1,2024Q4
B4035,2018-01,2024-12,84,82616666.76000002,903,2018-01-01,2024-12-01,2018Q1,2024Q4
G9002,2018-01,2024-12,84,42252789.190000005,439,2018-01-01,2024-12-01,2018Q1,2024Q4
99211,2018-01,2024-12,84,167314548.0700001,11002,2018-01-01,2024-12-01,2018Q1,2024Q4
97533,2018-01,2024-12,84,15998289.21,475,2018-01-01,2024-12-01,2018Q1,2024Q4
S0215,2018-01,2024-12,84,155121963.0499999,1656,2018-01-01,2024-12-01,2018Q1,2024Q4
T4541,2018-01,2024-12,84,76704513.24999997,1097,2018-01-01,2024-12-01,2018Q1,2024Q4
62323,2018-01,2024-12,84,13138876.699999997,952,2018-01-01,2024-12-01,2018Q1,2024Q4
99401,2018-01,2024-12,84,12079019.119999984,3730,2018-01-01,2024-12-01,2018Q1,2024Q4
76770,2018-01,2024-12,84,25884312.27,2395,2018-01-01,2024-12-01,2018Q1,2024Q4
99281,2018-01,2024-12,84,74465254.63999996,2363,2018-01-01,2024-12-01,2018Q1,2024Q4
0450,2018-01,2024-12,84,168920226.26,437,2018-01-01,2024-12-01,2018Q1,2024Q4
M0171,2021-02,2022-04,15,293071.63000000006,18,2021-02-01,2022-04-01,2021Q1,2022Q2
73721,2018-01,2024-12,84,27839052.33000001,1605,2018-01-01,2024-12-01,2018Q1,2024Q4
88312,2018-01,2024-12,84,10918122.22,1258,2018-01-01,2024-12-01,2018Q1,2024Q4
E1007,2018-02,2024-09,65,11080214.04,46,2018-02-01,2024-09-01,2018Q1,2024Q3
49450,2018-12,2024-10,34,369223.4699999999,14,2018-12-01,2024-10-01,2018Q4,2024Q4
A4409,2018-01,2024-12,84,4012383.819999999,166,2018-01-01,2024-12-01,2018Q1,2024Q4
