CLAIM_FROM_MONTH,billing_type,total_paid
2018-01-01,Third-Party,1764594875.0399895
2018-01-01,Same,2884930218.429995
2018-02-01,Third-Party,1582577939.4899945
2018-02-01,Same,2635923141.2200036
2018-03-01,Same,2809979414.8099923
2018-03-01,Third-Party,1716462734.589996
2018-04-01,Third-Party,1633479751.5600002
2018-04-01,Same,2886844025.290007
2018-05-01,Same,2969170459.9700027
2018-05-01,Third-Party,1741935861.1900022
2018-06-01,Third-Party,1538232804.6900008
2018-06-01,Same,2709978120.080014
2018-07-01,Third-Party,1615987006.6800025
2018-07-01,Same,2708796250.2899985
2018-08-01,Same,3039652621.279986
2018-08-01,Third-Party,1777438539.039995
2018-09-01,Third-Party,1581530065.8599994
2018-09-01,Same,2721554732.92
2018-10-01,Third-Party,1939933192.7899954
2018-10-01,Same,3010899127.719994
2018-11-01,Third-Party,1729465621.3000066
2018-11-01,Same,2777426950.9200087
2018-12-01,Same,2781871684.6900024
2018-12-01,Third-Party,1647638239.710005
2019-01-01,Same,3238484452.469996
2019-01-01,Third-Party,2071506855.8999941
2019-02-01,Same,2954769990.890001
2019-02-01,Third-Party,1903032133.6299953
2019-03-01,Same,3266134531.519986
2019-03-01,Third-Party,2104298151.4700017
2019-04-01,Same,3247545285.0899835
2019-04-01,Third-Party,2129468941.379993
2019-05-01,Third-Party,2096007712.4700003
2019-05-01,Same,3346899137.1299996
2019-06-01,Third-Party,1832586924.0000067
2019-06-01,Same,3039896297.649975
2019-07-01,Third-Party,1940895382.289993
2019-07-01,Same,3286859840.2299976
2019-08-01,Third-Party,1981564327.8599958
2019-08-01,Same,3288373606.329985
2019-09-01,Third-Party,1953717479.9600072
2019-09-01,Same,3362267603.0799923
2019-10-01,Third-Party,2212067009.6999917
2019-10-01,Same,3700962438.9400063
2019-11-01,Same,3475504777.000013
2019-11-01,Third-Party,1901448478.0399923
2019-12-01,Same,3381800091.8499994
2019-12-01,Third-Party,1925832719.5499911
2020-01-01,Same,3730620932.5100145
2020-01-01,Third-Party,2405562914.47999
2020-02-01,Third-Party,2146729397.839995
2020-02-01,Same,3410215194.9599776
2020-03-01,Third-Party,1803372944.9700005
2020-03-01,Same,3385787202.860004
2020-04-01,Same,2927558867.0999966
2020-04-01,Third-Party,1390266290.7000015
2020-05-01,Same,2947126460.5300035
2020-05-01,Third-Party,1538883266.689999
2020-06-01,Same,3366276893.129998
2020-06-01,Third-Party,1896362228.539994
2020-07-01,Same,3461239558.5699987
2020-07-01,Third-Party,1997596394.829993
2020-08-01,Same,3497614449.4100018
2020-08-01,Third-Party,1969755009.5899951
2020-09-01,Third-Party,2160462531.299994
2020-09-01,Same,3562930591.969999
2020-10-01,Same,3781324618.2200146
2020-10-01,Third-Party,2416213005.2199945
2020-11-01,Same,3521444097.169979
2020-11-01,Third-Party,2348354026.689996
2020-12-01,Same,3719260099.3000073
2020-12-01,Third-Party,2499096599.5500045
2021-01-01,Third-Party,2511480733.4999857
2021-01-01,Same,3731474618.0300097
2021-02-01,Same,3508305024.2399974
2021-02-01,Third-Party,2349104883.9699993
2021-03-01,Third-Party,2952850232.5199957
2021-03-01,Same,4181702152.9799967
2021-04-01,Third-Party,2852681310.5299835
2021-04-01,Same,3974664819.1599708
2021-05-01,Same,3891028831.7200017
2021-05-01,Third-Party,2704050685.259981
2021-06-01,Same,3946602575.5000143
2021-06-01,Third-Party,2786271436.829982
2021-07-01,Third-Party,2771405086.3299766
2021-07-01,Same,4040947403.6500187
2021-08-01,Same,4242271589.670001
2021-08-01,Third-Party,2937256961.459984
2021-09-01,Third-Party,2912213054.2699814
2021-09-01,Same,4056407805.710017
2021-10-01,Third-Party,2844694521.7099876
2021-10-01,Same,4253480471.6800194
2021-11-01,Same,4124089434.039982
2021-11-01,Third-Party,2817931418.999986
2021-12-01,Same,4195231273.140006
2021-12-01,Third-Party,2753732366.2599874
2022-01-01,Third-Party,2900938070.569995
2022-01-01,Same,4251650776.6900196
2022-02-01,Third-Party,2625582476.919993
2022-02-01,Same,4007186426.369983
2022-03-01,Same,4613084527.480003
2022-03-01,Third-Party,3206396677.299992
2022-04-01,Third-Party,2878077203.879996
2022-04-01,Same,4484911626.6700115
2022-05-01,Third-Party,2926178184.83
2022-05-01,Same,4520282086.7399845
2022-06-01,Same,4471874254.240005
2022-06-01,Third-Party,2914753946.4399986
2022-07-01,Same,4269938396.1699986
2022-07-01,Third-Party,2710235383.4099813
