decile,provider_count,total_paid,avg_paid,median_paid,min_paid,max_paid,total_claims,pct_of_total
D1,56118,24584545.03,438.0866215830928,416.53000000000003,0.01,972.8299999999999,15755680.0,0.004497300753448273
D2,56118,103572655.47,1845.622714102427,1781.06,972.8599999999999,2973.78,13166461.0,0.018946756220766612
D3,56118,273832341.18,4879.5812605581095,4748.325,2973.79,7350.78,21587047.0,0.050092706324422004
D4,56117,634732964.35,11310.88554894239,11073.42,7350.79,16284.000000000004,38574511.0,0.1161129903085992
D5,56118,1354151593.86,24130.432193948465,23632.54,16284.109999999999,33960.42,62251696.0,0.24771770134115662
D6,56118,2779658846.32,49532.39328415126,48563.75000000001,33960.49,69246.11000000002,112806950.0,0.508488638233062
D7,56117,5774965132.74,102909.37029313754,100219.22,69246.17000000001,147888.93,200023993.0,1.0564261006626856
D8,56118,13182042287.06,234898.6472621975,225752.09,147891.43000000005,361297.3699999998,409994420.0,2.411417768245839
D9,56118,37912219050.04,675580.3672625539,622310.4099999999,361297.61,1216481.1699999995,968405307.0,6.935359230385598
D10,56118,484611362618.65,8635577.936110517,3106184.939999999,1216482.8900000004,3958618647.4199996,7532679640.0,88.65094080752442
