HCPCS_CODE,avg_claims_per_bene,median_claims_per_bene,avg_paid_per_bene,total_records
1286C,50.99570652864301,29.349672685038538,138.91008079027162,38
Z5989,39.6078431372549,39.6078431372549,0.0,1
1550P,38.34615384615385,38.34615384615385,153.13846153846154,1
1286Z,35.644535979333575,32.294324460070314,141.35154317100782,51
W0102,34.95100732600732,31.535714285714285,7172.504958791208,6
1286A,34.195429974570565,30.854185185185184,135.3229883616695,48
0593T,32.4,32.4,3007.8585,1
W0038,31.64017983104315,30.0,7780.207885458545,36
X5635,31.144664435780392,29.852380952380955,6564.7259973828195,28
W0100,30.202380952380956,30.0,8224.71238095238,7
W00R2,29.178708507419586,29.636363636363637,0.0,65
RUGS,29.040598290598293,29.583333333333332,0.0,3
S9326,28.908470888246775,29.29891304347826,1251.92667350063,36
W00R4,28.54321479290803,28.79111842105263,0.0,20
M0153,28.3489010989011,29.0,8301.629368131868,9
W9047,27.618872289819432,28.8,9800.930141621482,43
T2012,27.106632186117178,25.150093808630395,4731.1774751490375,1982
1551P,26.89921859471278,25.963501291989665,274.1616795865633,4
T2027,26.83406821586544,22.0,1810.3919638206546,1359
Z9500,26.64516129032258,26.64516129032258,0.0,1
Q5007,26.563340190187482,26.7,4639.42933299049,7
1434Z,26.43798225290686,29.333333333333332,127.11038518317798,69
YP710,26.153846153846153,26.153846153846153,0.0,2
Z5834,26.120657118681766,18.791666666666668,11799.113496949718,141
M0167,25.766719639486986,27.83653846153846,3814.018042214421,208
M0151,25.705117997161423,26.567251461988306,5054.805419317066,60
M0123,25.678894065341893,28.949152542372882,1954.1442815570524,1309
M0150,25.67778620793012,28.360294117647058,3888.6413209717834,508
M0122,25.648436010806183,29.243243243243242,1860.8772936610956,823
M0152,25.506280898863665,27.615384615384617,4327.427219576129,243
M0166,25.3033582384843,27.93541666666667,3730.5582330250113,118
90947,25.28663659204065,28.307692307692307,1881.8489381223555,79
M0124,25.20626969605065,29.147058823529413,3003.815616922229,145
M0125,25.013527321450276,28.39677177177177,2352.997701095591,446
M0169,24.699399428949867,28.700854700854702,4196.42627726925,36
1431Z,24.367845165843775,28.517241379310345,1050.0607205965334,41
W1793,24.263921862615273,25.85,4225.118598336133,5040
M0149,24.10974220880774,24.576923076923077,3698.8048318433785,63
90019,24.086948661151737,22.52858439201452,0.0,8
PT624,23.875,23.875,0.0,1
X0241,23.76131001331978,23.94736842105263,2670.0809331280907,85
90945,23.704610637024153,27.25,1679.2318432934442,2096
1536P,23.41025641025641,23.41025641025641,4685.968461538461,2
S0109,23.368893569008467,26.28,144.626950007336,2899
W0000,22.705018939393938,22.705018939393938,0.0,2
W1759,22.546108962542146,25.01125,263.7420908587527,60
99509,22.211647535480278,26.09375,1379.8464453449492,40911
Z5868,22.096222926884728,15.824074074074073,5452.28353966037,78
1023Z,22.080845783191766,26.6,5340.396314077321,65
W9045,21.992158970517394,27.73076923076923,13954.272648657614,52
