year,month_num,total_paid,total_claims,providers,month_name
2018,1,4649525093.469945,93850903.0,181019,Jan
2018,2,4218501080.7099776,86647003.0,175730,Feb
2018,3,4526442149.399968,91261972.0,180739,Mar
2018,4,4520323776.849991,89881011.0,178821,Apr
2018,5,4711106321.159972,92354384.0,179175,May
2018,6,4248210924.7699757,81820240.0,169562,Jun
2018,7,4324783256.969971,84253908.0,169192,Jul
2018,8,4817091160.319976,93992527.0,178329,Aug
2018,9,4303084798.779967,84180940.0,168591,Sep
2018,10,4950832320.509939,98447076.0,181274,Oct
2018,11,4506892572.219993,85295732.0,169822,Nov
2018,12,4429509924.39997,83033778.0,164882,Dec
2019,1,5309991308.369983,101100995.0,181553,Jan
2019,2,4857802124.519954,93753622.0,175972,Feb
2019,3,5370432682.989924,102111706.0,182208,Mar
2019,4,5377014226.469959,102663552.0,184273,Apr
2019,5,5442906849.599944,102570491.0,181989,May
2019,6,4872483221.65001,89558099.0,172759,Jun
2019,7,5227755222.520027,97101180.0,177545,Jul
2019,8,5269937934.189965,101037714.0,182889,Aug
2019,9,5315985083.039934,101826417.0,182121,Sep
2019,10,5913029448.639975,114259886.0,193439,Oct
2019,11,5376953255.039987,98661425.0,179513,Nov
2019,12,5307632811.399976,97250587.0,176593,Dec
2020,1,6136183846.989958,114758399.0,192140,Jan
2020,2,5556944592.79998,104362135.0,186345,Feb
2020,3,5189160147.829991,88198910.0,168286,Mar
2020,4,4317825157.799988,63157097.0,121368,Apr
2020,5,4486009727.219984,71985185.0,141904,May
2020,6,5262639121.670008,90753894.0,166226,Jun
2020,7,5458835953.400005,97333145.0,171680,Jul
2020,8,5467369459.000034,95659016.0,174053,Aug
2020,9,5723393123.270018,103255033.0,182251,Sep
2020,10,6197537623.439987,109876662.0,190957,Oct
2020,11,5869798123.860004,102595238.0,186941,Nov
2020,12,6218356698.849963,108286065.0,187678,Dec
2021,1,6242955351.530023,110987250.0,192677,Jan
2021,2,5857409908.209966,103341635.0,190031,Feb
2021,3,7134552385.500062,130287297.0,210180,Mar
2021,4,6827346129.689979,122859084.0,205391,Apr
2021,5,6595079516.9799385,116575100.0,200171,May
2021,6,6732874012.330006,119650635.0,201099,Jun
2021,7,6812352489.980026,119434552.0,196501,Jul
2021,8,7179528551.130113,128325736.0,203616,Aug
2021,9,6968620859.979949,127072762.0,203516,Sep
2021,10,7098174993.3899975,128157719.0,205702,Oct
2021,11,6942020853.039953,123813454.0,203186,Nov
2021,12,6948963639.400013,121586107.0,199088,Dec
2022,1,7152588847.2600565,125770491.0,199464,Jan
2022,2,6632768903.289941,117380101.0,197378,Feb
2022,3,7819481204.780015,140077115.0,212262,Mar
2022,4,7362988830.550062,128026499.0,203331,Apr
2022,5,7446460271.570025,127909522.0,204021,May
2022,6,7386628200.680035,125694182.0,200887,Jun
2022,7,6980173779.579964,116615191.0,192223,Jul
2022,8,7875975942.31996,136129581.0,208217,Aug
2022,9,7656196351.800076,132375048.0,205228,Sep
2022,10,8005586656.7900095,135286058.0,208398,Oct
2022,11,7727685434.680006,129919408.0,204793,Nov
2022,12,7563560740.720049,125120366.0,198375,Dec
2023,1,8346303359.600075,139940267.0,209236,Jan
2023,2,7784024664.420039,131197966.0,204420,Feb
2023,3,8808987046.159994,149314162.0,216053,Mar
2023,4,8056804769.399958,133597660.0,205487,Apr
2023,5,8669212191.570074,143809587.0,211714,May
2023,6,8005916843.900069,129610028.0,203497,Jun
2023,7,7906223957.45995,124767523.0,195597,Jul
2023,8,8599334780.459972,138134798.0,208508,Aug
2023,9,8041752175.750084,128649007.0,201204,Sep
2023,10,8715364384.359955,137818069.0,208001,Oct
2023,11,8263017850.989949,129159487.0,200846,Nov
2023,12,7909766779.510048,119826169.0,192005,Dec
2024,1,8804072418.129988,135106708.0,202766,Jan
2024,2,8616138658.830027,134319645.0,201637,Feb
2024,3,8864816812.200026,131239370.0,200371,Mar
2024,4,8950155340.34002,135156346.0,202001,Apr
2024,5,8697205280.749968,130727862.0,200300,May
2024,6,7911404805.410007,114684933.0,186792,Jun
2024,7,8262552707.220044,122845858.0,188994,Jul
2024,8,8150696557.419984,122666320.0,191478,Aug
2024,9,7861532489.759987,117424287.0,186782,Sep
2024,10,8184994174.770093,121121704.0,188091,Oct
2024,11,6462510925.750053,92552503.0,159798,Nov
2024,12,2096040350.1400003,31518188.0,88843,Dec
