HCPCS_CODE,first_seen,last_seen,months_active,total_paid,provider_count,first_dt,last_dt,first_quarter,last_quarter
97153,2019-01,2024-12,72,2628601470.2100024,2014,2019-01-01,2024-12-01,2019Q1,2024Q4
T2019,2018-01,2024-12,84,286858798.78000003,580,2018-01-01,2024-12-01,2018Q1,2024Q4
H0036,2018-01,2024-12,84,2251640465.6800117,2493,2018-01-01,2024-12-01,2018Q1,2024Q4
J0897,2018-01,2024-11,83,61873406.199999996,336,2018-01-01,2024-11-01,2018Q1,2024Q4
86480,2018-01,2024-12,84,112975462.05000004,1284,2018-01-01,2024-12-01,2018Q1,2024Q4
H0020,2018-01,2024-12,84,3128359636.480004,1738,2018-01-01,2024-12-01,2018Q1,2024Q4
47562,2018-01,2024-11,83,52959786.38000001,353,2018-01-01,2024-11-01,2018Q1,2024Q4
T2016,2018-01,2024-12,84,17759598657.57005,1698,2018-01-01,2024-12-01,2018Q1,2024Q4
H0032,2018-01,2024-12,84,1215539921.3899965,4885,2018-01-01,2024-12-01,2018Q1,2024Q4
96130,2019-01,2024-12,72,105670422.56000009,2169,2019-01-01,2024-12-01,2019Q1,2024Q4
S5140,2018-01,2024-12,84,3290479916.230005,425,2018-01-01,2024-12-01,2018Q1,2024Q4
77295,2018-01,2024-11,83,5586026.4399999995,104,2018-01-01,2024-11-01,2018Q1,2024Q4
90791,2018-01,2024-12,84,965013817.5999994,18214,2018-01-01,2024-12-01,2018Q1,2024Q4
J1569,2018-01,2024-12,84,65000775.93,83,2018-01-01,2024-12-01,2018Q1,2024Q4
H2027,2018-01,2024-12,84,364567390.43,961,2018-01-01,2024-12-01,2018Q1,2024Q4
A4554,2018-01,2024-12,84,314528087.56000006,1463,2018-01-01,2024-12-01,2018Q1,2024Q4
96165,2020-01,2024-12,60,87168710.38000004,489,2020-01-01,2024-12-01,2020Q1,2024Q4
90868,2018-02,2024-12,71,16030054.170000002,104,2018-02-01,2024-12-01,2018Q1,2024Q4
92014,2018-01,2024-12,84,929666352.9200048,21705,2018-01-01,2024-12-01,2018Q1,2024Q4
99199,2018-01,2024-12,84,1103236769.9900002,3560,2018-01-01,2024-12-01,2018Q1,2024Q4
S0209,2018-01,2024-12,84,105036484.16,651,2018-01-01,2024-12-01,2018Q1,2024Q4
S9435,2018-01,2024-11,81,4459561.62,7,2018-01-01,2024-11-01,2018Q1,2024Q4
