BILLING_PROVIDER_NPI_NUM,total_paid,total_claims,risk_upcoding,risk_velocity,risk_phantom,risk_cost_outlier,risk_relationship,risk_temporal,fraud_score,risk_tier
1437122009,1276068.039999999,26471.0,1,1,1,1,1,0,5,High
1023398310,36749.859999999986,13705.0,0,1,1,1,1,1,5,High
1073061032,71275.93000000001,613.0,1,1,0,1,1,1,5,High
1881731891,43930.0,299.0,1,1,0,1,1,1,5,High
1548430689,100706.06999999999,7527.0,0,1,1,1,1,1,5,High
1609988450,1983845.33,11237.0,1,1,0,1,1,1,5,High
1326519612,1736999.72,17108.0,1,1,1,1,1,0,5,High
1124127683,13274232.159999995,73614.0,0,1,1,1,1,1,5,High
1942244462,11401.580000000002,5581.0,0,1,1,1,1,1,5,High
1932650546,361644.9,11723.0,1,1,0,1,1,1,5,High
1164920963,1670763.0,3162.0,1,1,1,1,1,0,5,High
1871143339,134382.45,1938.0,0,1,1,1,1,1,5,High
1508313818,18955.29,154.0,1,1,0,1,1,1,5,High
1104268325,1206149.73,13455.0,1,1,1,1,1,0,5,High
1235563958,61641.71000000001,712.0,1,1,0,1,1,1,5,High
1366852766,11868.470000000001,7193.0,0,1,1,1,1,1,5,High
1740288505,2844273.189999998,13321.0,1,1,0,1,1,1,5,High
1790824530,102817.0,1549.0,0,1,1,1,1,1,5,High
1649838533,4668710.0,22081.0,1,1,1,1,1,0,5,High
1326053166,2310725.82,9619.0,1,1,1,1,1,0,5,High
1497843734,1177988.9700000004,5410.0,1,1,0,1,1,1,5,High
1881994994,36942.59,451.0,1,1,0,1,1,1,5,High
1073715579,65400.0,131.0,1,1,0,1,1,1,5,High
1427273705,493059.20000000007,1298.0,1,1,0,1,1,1,5,High
1417910126,1243531.89,3042.0,1,1,1,1,1,0,5,High
1508837865,50864.72,3789.0,0,1,1,1,1,1,5,High
1386885671,1078565.1699999997,9857.0,0,1,1,1,1,1,5,High
1881639342,3536702.0999999978,29843.0,0,1,1,1,1,1,5,High
1528323268,581043.02,10599.0,1,1,0,1,1,1,5,High
1952413759,69879.33,962.0,0,1,1,1,1,1,5,High
1184783409,466885.06999999995,60091.0,0,1,1,1,1,1,5,High
1780064808,150229.90000000002,15730.0,0,1,1,1,1,1,5,High
1326090960,2036.0400000000002,5369.0,0,1,1,1,1,1,5,High
1386787422,551764.1099999999,71443.0,0,1,1,1,1,1,5,High
1699356683,3714113.8899999997,13773.0,1,1,1,1,0,1,5,High
1689987539,536218.7399999999,12116.0,0,1,1,1,1,1,5,High
1740648856,3936159.9299999992,9911.0,0,1,1,1,1,1,5,High
1083612089,299813.55,5823.0,0,1,1,1,1,1,5,High
1528027414,316852.53,8711.0,0,1,1,1,1,1,5,High
1861445272,1492.51,4201.0,0,1,1,1,1,1,5,High
1063817823,13035.619999999999,240.0,1,1,0,1,1,1,5,High
1033183942,125301.51999999997,1402.0,1,1,1,1,0,1,5,High
1699420976,13531.48,181.0,1,1,0,1,1,1,5,High
1912135419,8409.45,3021.0,0,1,1,1,1,1,5,High
1215921457,27400724.810000006,164062.0,1,1,1,1,1,0,5,High
1871073304,18749.89,5545.0,0,1,0,1,1,1,4,High
1023301561,8614.74,1170.0,0,1,0,1,1,1,4,High
1205857349,51560.799999999996,1429.0,0,1,0,1,1,1,4,High
1396068011,379267.69999999995,17939.0,0,1,0,1,1,1,4,High
1609965441,1254833.18,55057.0,0,1,1,1,1,0,4,High
1457652307,28994.55,18830.0,0,1,0,1,1,1,4,High
1265470868,25248.7,891.0,0,1,0,1,1,1,4,High
1588094288,15975.080000000002,2370.0,0,1,0,1,1,1,4,High
1235108713,39676.47,737.0,0,1,0,1,1,1,4,High
1518239219,4075605.0899999994,45906.0,1,1,0,1,1,0,4,High
1356398499,124656.05000000002,74138.0,0,1,1,1,1,0,4,High
1225099658,153107.94999999992,3440.0,1,1,0,1,1,0,4,High
1467546135,8280138.119999996,193566.0,0,1,1,1,1,0,4,High
1285050344,131325.01,3868.0,0,1,0,1,1,1,4,High
1063477727,399255.02999999997,18036.0,0,1,0,1,1,1,4,High
1457309270,164409.05999999994,10219.0,0,1,1,1,0,1,4,High
1265530752,18975.789999999997,691.0,1,1,0,1,1,0,4,High
1922139104,1778769.4499999997,11172.0,1,1,0,1,0,1,4,High
1629279138,68349.05999999998,4222.0,0,1,1,1,1,0,4,High
1720253198,15978.170000000004,8351.0,0,1,1,1,1,0,4,High
1912076563,10135.92,7969.0,0,1,0,1,1,1,4,High
1174621585,437.48,9426.0,0,1,0,1,1,1,4,High
1194014191,711199.08,4360.0,0,1,1,1,1,0,4,High
1245272657,1103869.2799999998,115655.0,0,1,0,1,1,1,4,High
1396084307,6487.82,4090.0,0,1,0,1,1,1,4,High
1528000221,44731.689999999995,1263.0,1,1,0,1,1,0,4,High
1003274937,3856.62,1673.0,0,1,0,1,1,1,4,High
1336171164,130121.85000000005,4109.0,0,1,0,1,1,1,4,High
1972752368,466092.2700000001,21396.0,0,1,0,1,1,1,4,High
1992850689,4117386.659999997,40157.0,0,1,1,1,1,0,4,High
1770065237,200685.83999999997,176.0,1,1,0,1,1,0,4,High
1194866525,89596.67000000001,2933.0,0,1,0,1,1,1,4,High
1154608370,32172.71,1713.0,0,1,0,1,1,1,4,High
1952476988,97447155.25999998,1696219.0,0,1,1,1,1,0,4,High
1457402364,112683.98000000001,3724.0,0,1,1,1,0,1,4,High
1093869323,2023827.26,38163.0,0,1,0,1,1,1,4,High
1497938476,545588.62,1277.0,1,1,0,1,1,0,4,High
1215027107,214649.09,9031.0,0,1,0,1,1,1,4,High
1861513996,1216363.2799999998,5431.0,0,1,1,1,0,1,4,High
1891937546,11427.429999999998,2987.0,0,1,0,1,1,1,4,High
1689758039,40055.78,201.0,1,1,0,1,1,0,4,High
1568424711,117345.48,13693.0,0,1,1,0,1,1,4,High
1790809184,20369.8,23793.0,0,1,0,1,1,1,4,High
1639247356,19682.170000000002,306.0,1,1,0,1,1,0,4,High
1999999984,19073368.46,820041.0,0,1,1,1,1,0,4,High
1285721571,205838.81999999998,3723.0,0,1,0,1,1,1,4,High
1588659528,39278105.269999996,224235.0,1,1,1,1,0,0,4,High
1346300209,3120930.5700000003,34615.0,1,1,0,1,1,0,4,High
1306477146,34826.3,210.0,1,1,0,1,1,0,4,High
1902934292,340930.92000000004,48796.0,0,1,0,1,1,1,4,High
1265732184,131568.28,81922.0,0,1,0,1,1,1,4,High
1871853481,2617496.1200000015,54925.0,0,1,0,1,1,1,4,High
1710932470,511770.6099999999,12406.0,0,1,1,1,1,0,4,High
1780676957,916116.56,13372.0,0,1,1,1,1,0,4,High
1023521572,34086.270000000004,1902.0,0,1,0,1,1,1,4,High
1396142733,15255.92,132.0,1,1,0,1,0,1,4,High
1285923896,30291.89,619.0,1,0,1,1,1,0,4,High
1417244302,553565.6500000003,15881.0,0,1,0,1,1,1,4,High
1861005241,335536.7699999999,11981.0,0,1,1,0,1,1,4,High
1548231608,1120029.3900000004,15568.0,0,1,0,1,1,1,4,High
1972630499,315222.91000000003,2671.0,1,1,0,1,0,1,4,High
1699748533,206650.73000000004,1678.0,1,1,0,1,1,0,4,High
1265546048,3348350.1399999983,53893.0,0,1,1,1,1,0,4,High
1619281201,221590.98000000004,3441.0,1,1,0,1,1,0,4,High
1801807870,1888516.8100000008,7241.0,1,1,0,1,1,0,4,High
